TermID	Name	Value	LogSize	Frequency	Uniqueness	Dispensability	Representative
GO:0005975	"carbohydrate metabolic process"	-2.25999370216645	6.220115151808519	5.521546466478484	0.8904273116366335	0.07173764	null
GO:0006066	"alcohol metabolic process"	-1.8121414	5.389924108316851	0.8163345541747027	0.7847534026428651	0.32711432	null
GO:0006412	"translation"	-2.06571765962595	6.184402940776566	5.085673767131161	0.7375957539077255	0.09890652	null
GO:0008643	"carbohydrate transport"	-1.98096013597696	5.304509915487243	0.6705846414536847	0.8845322216087702	0	null
GO:0009056	"catabolic process"	-1.84512013097562	6.260468037413432	6.059177012419161	0.9256305741847993	0.08620057	null
GO:0009064	"glutamine family amino acid metabolic process"	-1.7450659	5.567060496362567	1.2274538166460176	0.6668943104931038	0.34770883	null
GO:0009401	"phosphoenolpyruvate-dependent sugar phosphotransferase system"	-1.96529285041848	4.820378820405488	0.21994702591547136	0.8374328234447892	0.47325313	null
GO:0010467	"gene expression"	-1.83853766282725	6.465111183714701	9.706370753664654	0.8636616832722382	0.22251338	null
GO:0015980	"energy derivation by oxidation of organic compounds"	-1.98766040357055	5.611345126683129	1.3592204656440126	0.8047250573498412	0.03176108	null
GO:0019318	"hexose metabolic process"	-2.03286912082046	5.315283743599112	0.6874284205910277	0.6947217897152678	0	null
GO:0019538	"protein metabolic process"	-1.77903688505371	6.7492881892860686	18.67385374490695	0.7712687483320244	0.36205169	null
GO:0044238	"primary metabolic process"	-1.87621288444621	7.210955285610252	54.063119334849006	0.8892843566040477	0.08391968	null
GO:0044281	"small molecule metabolic process"	-1.66225821102383	6.658602684396198	15.15473791824727	0.9130476003291961	0.11778626	null
GO:0098662	"inorganic cation transmembrane transport"	-1.7962726	5.841229913729291	2.307677570153143	0.8556871598006672	0.31442957	null
GO:1901615	"organic hydroxy compound metabolic process"	-1.81767317353827	5.555437877192316	1.1950401855849182	0.9218254692472521	0.04618357	null
