NAME	GS<br> follow link to MSigDB	GS DETAILS	SIZE	ES	NES	NOM p-val	FDR q-val	FWER p-val	RANK AT MAX	LEADING EDGE	
SEP00240	SEP00240	Details ...	26	0.40319434	1.3683496	0.06837607	0.9097761	0.787	263	tags=23%, list=12%, signal=26%	
SEP00552	SEP00552	Details ...	23	0.3669178	1.2443472	0.18376069	0.8336497	0.948	304	tags=26%, list=14%, signal=30%	
SEP02010	SEP02010	Details ...	81	0.27281883	1.228404	0.10268949	0.6011666	0.962	795	tags=51%, list=35%, signal=75%	
SEP00770	SEP00770	Details ...	18	0.31935185	0.9800764	0.4574468	1.0	1.0	588	tags=33%, list=26%, signal=45%	
SEP00730	SEP00730	Details ...	16	0.3196131	0.9658398	0.51276594	1.0	1.0	454	tags=31%, list=20%, signal=39%	
SEP00230	SEP00230	Details ...	47	0.22000541	0.8824441	0.65581393	1.0	1.0	189	tags=13%, list=8%, signal=14%	
SEP03030	SEP03030	Details ...	16	0.29791883	0.88145924	0.62909836	0.9183319	1.0	196	tags=19%, list=9%, signal=20%	
SEP00400	SEP00400	Details ...	18	0.2581934	0.8111287	0.71458775	0.94603866	1.0	871	tags=67%, list=39%, signal=108%	
SEP00550	SEP00550	Details ...	26	0.21809912	0.74160033	0.8688889	0.9482149	1.0	260	tags=19%, list=12%, signal=21%	
SEP03018	SEP03018	Details ...	15	0.18319525	0.5356019	0.97540987	0.9884844	1.0	645	tags=33%, list=29%, signal=46%	
