NAME	GS<br> follow link to MSigDB	GS DETAILS	SIZE	ES	NES	NOM p-val	FDR q-val	FWER p-val	RANK AT MAX	LEADING EDGE	
GO:0003735	GO:0003735	Details ...	56	-0.6800868	-2.7088487	0.0	0.0	0.0	309	tags=45%, list=14%, signal=51%	
GO:0005198	GO:0005198	Details ...	57	-0.67677754	-2.6838543	0.0	0.0	0.0	309	tags=44%, list=14%, signal=50%	
GO:1990904	GO:1990904	Details ...	57	-0.6723165	-2.6592135	0.0	0.0	0.0	309	tags=44%, list=14%, signal=50%	
GO:0019843	GO:0019843	Details ...	43	-0.6942601	-2.652607	0.0	0.0	0.0	290	tags=51%, list=13%, signal=58%	
GO:0032991	GO:0032991	Details ...	121	-0.5451859	-2.4758265	0.0	0.0	0.0	449	tags=42%, list=20%, signal=50%	
GO:0005575	GO:0005575	Details ...	112	-0.55058944	-2.4657874	0.0	0.0	0.0	356	tags=38%, list=16%, signal=42%	
GO:0005975	GO:0005975	Details ...	72	-0.5506753	-2.3238685	0.0	1.7093313E-4	0.001	265	tags=39%, list=12%, signal=43%	
GO:0006412	GO:0006412	Details ...	101	-0.5070631	-2.2623947	0.0	2.857507E-4	0.002	684	tags=56%, list=31%, signal=78%	
GO:0005996	GO:0005996	Details ...	22	-0.6852413	-2.192875	0.0	4.950762E-4	0.004	265	tags=55%, list=12%, signal=61%	
GO:0043043	GO:0043043	Details ...	99	-0.496423	-2.1880426	0.0	4.455686E-4	0.004	684	tags=57%, list=31%, signal=78%	
GO:0015980	GO:0015980	Details ...	21	-0.690191	-2.1880343	0.0	4.0506237E-4	0.004	227	tags=52%, list=10%, signal=58%	
GO:0009060	GO:0009060	Details ...	21	-0.69019103	-2.1631145	0.0	5.4969825E-4	0.006	227	tags=52%, list=10%, signal=58%	
GO:0045333	GO:0045333	Details ...	21	-0.690191	-2.1592371	0.0	5.0741376E-4	0.006	227	tags=52%, list=10%, signal=58%	
GO:0016773	GO:0016773	Details ...	49	-0.5458741	-2.09833	0.0	0.0013977211	0.018	147	tags=29%, list=7%, signal=30%	
GO:0019318	GO:0019318	Details ...	17	-0.6950625	-2.0978775	0.0	0.0013045397	0.018	265	tags=59%, list=12%, signal=66%	
GO:0016052	GO:0016052	Details ...	25	-0.63322246	-2.049113	0.0	0.0019025574	0.027	265	tags=44%, list=12%, signal=49%	
GO:0005488	GO:0005488	Details ...	95	-0.4677746	-2.0434732	0.0	0.0017906423	0.027	686	tags=59%, list=31%, signal=82%	
GO:0008643	GO:0008643	Details ...	21	-0.6314735	-2.0318146	0.0	0.002247313	0.035	106	tags=43%, list=5%, signal=45%	
GO:0098704	GO:0098704	Details ...	18	-0.6655757	-2.0238943	0.001908397	0.0022416771	0.037	133	tags=44%, list=6%, signal=47%	
GO:1901575	GO:1901575	Details ...	71	-0.48889092	-2.0073285	0.0	0.0026165473	0.046	265	tags=30%, list=12%, signal=33%	
GO:0009401	GO:0009401		18	-0.6655757	-2.0005734	0.0	0.002590325	0.048	133	tags=44%, list=6%, signal=47%	
GO:0005622	GO:0005622		22	-0.61590284	-1.9986051	0.0	0.00256739	0.05	520	tags=64%, list=23%, signal=82%	
GO:0010467	GO:0010467		166	-0.41410458	-1.9710784	0.0	0.003869464	0.076	460	tags=36%, list=21%, signal=41%	
GO:0019538	GO:0019538		169	-0.4046396	-1.9614528	0.0	0.004248352	0.088	684	tags=47%, list=31%, signal=62%	
GO:0015144	GO:0015144		15	-0.6653982	-1.9286041	0.0038095238	0.0056968713	0.122	106	tags=47%, list=5%, signal=49%	
GO:0044238	GO:0044238		441	-0.35813543	-1.9050043	0.0	0.006824159	0.153	315	tags=23%, list=14%, signal=22%	
GO:0015297	GO:0015297		23	-0.5783426	-1.895374	0.0072727273	0.007501837	0.173	536	tags=61%, list=24%, signal=79%	
GO:1901615	GO:1901615		27	-0.5660602	-1.8816365	0.0	0.008365919	0.199	188	tags=26%, list=8%, signal=28%	
GO:1902600	GO:1902600		23	-0.5778997	-1.858533	0.0	0.009999715	0.241	671	tags=74%, list=30%, signal=105%	
GO:0110165	GO:0110165		24	-0.5777624	-1.8525087	0.0	0.010243457	0.252	520	tags=58%, list=23%, signal=75%	
GO:0006066	GO:0006066		23	-0.5704941	-1.8121414	0.0	0.0152988285	0.359	188	tags=26%, list=8%, signal=28%	
GO:1901681	GO:1901681		16	-0.61984044	-1.7965598	0.0019230769	0.017620284	0.407	559	tags=63%, list=25%, signal=83%	
GO:0098662	GO:0098662		30	-0.5210668	-1.7962726	0.0035273368	0.017086336	0.407	762	tags=70%, list=34%, signal=105%	
GO:0005525	GO:0005525		31	-0.51791567	-1.780779	0.0	0.018901946	0.443	674	tags=58%, list=30%, signal=82%	
GO:0032561	GO:0032561		31	-0.51791567	-1.771828	0.003976143	0.020291174	0.486	674	tags=58%, list=30%, signal=82%	
GO:0050661	GO:0050661		18	-0.5869594	-1.7584645	0.00915751	0.022562452	0.525	735	tags=61%, list=33%, signal=91%	
GO:0006525	GO:0006525		20	-0.5731491	-1.7524878	0.0054054055	0.023151537	0.548	532	tags=60%, list=24%, signal=78%	
GO:0009064	GO:0009064		39	-0.4823878	-1.7450659	0.003533569	0.024057657	0.577	532	tags=46%, list=24%, signal=60%	
GO:0006006	GO:0006006		15	-0.6087291	-1.7265857	0.005725191	0.028314793	0.645	265	tags=53%, list=12%, signal=60%	
GO:0003723	GO:0003723		100	-0.3943786	-1.7230809	0.0	0.028449979	0.657	742	tags=56%, list=33%, signal=80%	
GO:0009056	GO:0009056		52	-0.43491766	-1.7157549	0.005444646	0.029648442	0.682	188	tags=21%, list=8%, signal=23%	
GO:1902494	GO:1902494		36	-0.47098354	-1.7021614	0.0036231885	0.03218786	0.726	520	tags=44%, list=23%, signal=57%	
GO:0009084	GO:0009084		21	-0.5362447	-1.6816912	0.011029412	0.03756955	0.787	446	tags=48%, list=20%, signal=59%	
GO:0043039	GO:0043039		20	-0.5201089	-1.6545494	0.017475728	0.045698505	0.85	634	tags=60%, list=29%, signal=83%	
GO:0008483	GO:0008483		16	-0.5442693	-1.616896	0.03380783	0.05996419	0.917	177	tags=31%, list=8%, signal=34%	
GO:0004812	GO:0004812		21	-0.510778	-1.6017056	0.020952381	0.066237636	0.933	634	tags=57%, list=29%, signal=79%	
GO:0016769	GO:0016769		16	-0.5442693	-1.5956018	0.034749035	0.068026505	0.937	177	tags=31%, list=8%, signal=34%	
GO:0006418	GO:0006418		20	-0.5201089	-1.5929745	0.014842301	0.06801741	0.941	634	tags=60%, list=29%, signal=83%	
GO:0016491	GO:0016491		170	-0.33016074	-1.584931	0.0	0.07109444	0.955	570	tags=36%, list=26%, signal=45%	
GO:0009059	GO:0009059		225	-0.31996626	-1.5809307	0.0	0.07184233	0.961	463	tags=31%, list=21%, signal=35%	
GO:0016875	GO:0016875		21	-0.510778	-1.5794245	0.03142329	0.07134971	0.961	634	tags=57%, list=29%, signal=79%	
GO:0006778	GO:0006778		17	-0.52908933	-1.5644273	0.03272727	0.07827471	0.98	936	tags=88%, list=42%, signal=151%	
GO:0003924	GO:0003924		16	-0.5295766	-1.5580348	0.027223231	0.080946796	0.983	739	tags=75%, list=33%, signal=112%	
GO:0006779	GO:0006779		16	-0.52794266	-1.5577506	0.03409091	0.079568654	0.983	827	tags=75%, list=37%, signal=119%	
GO:0098655	GO:0098655		37	-0.4348103	-1.5460409	0.021582734	0.08549606	0.987	762	tags=62%, list=34%, signal=93%	
GO:0016301	GO:0016301		89	-0.35453936	-1.536444	0.0033670033	0.089659445	0.987	194	tags=19%, list=9%, signal=20%	
GO:0006783	GO:0006783		15	-0.52450955	-1.520441	0.046040516	0.098882265	0.996	936	tags=87%, list=42%, signal=149%	
GO:0044281	GO:0044281		148	-0.3193254	-1.4996839	0.008156607	0.111667715	0.998	393	tags=25%, list=18%, signal=28%	
GO:0022804	GO:0022804		81	-0.34909022	-1.4970969	0.013245033	0.11187175	0.998	556	tags=38%, list=25%, signal=49%	
GO:0015291	GO:0015291		36	-0.40633336	-1.481608	0.03642987	0.12342791	0.999	536	tags=47%, list=24%, signal=61%	
GO:0033014	GO:0033014		18	-0.4815138	-1.4787508	0.050185874	0.12343503	0.999	827	tags=67%, list=37%, signal=105%	
GO:0015075	GO:0015075		37	-0.400462	-1.4621665	0.044247787	0.13557738	1.0	518	tags=43%, list=23%, signal=55%	
GO:0033013	GO:0033013		19	-0.48137796	-1.4573574	0.05762082	0.13745672	1.0	936	tags=79%, list=42%, signal=135%	
GO:0016903	GO:0016903		18	-0.47316307	-1.4086947	0.074285716	0.18543917	1.0	686	tags=61%, list=31%, signal=88%	
GO:0016874	GO:0016874		84	-0.3271883	-1.3972297	0.037931036	0.19611035	1.0	685	tags=45%, list=31%, signal=63%	
GO:0015267	GO:0015267		15	-0.4857221	-1.3957481	0.10095238	0.19462849	1.0	268	tags=47%, list=12%, signal=53%	
GO:0008324	GO:0008324		39	-0.3741453	-1.3911296	0.053030305	0.19754721	1.0	521	tags=41%, list=23%, signal=53%	
GO:0043167	GO:0043167		111	-0.30814722	-1.3901209	0.02739726	0.19566694	1.0	579	tags=40%, list=26%, signal=51%	
GO:0071702	GO:0071702		61	-0.3424687	-1.3778795	0.05199307	0.2074762	1.0	106	tags=16%, list=5%, signal=17%	
GO:0016614	GO:0016614		37	-0.37489942	-1.3764911	0.0685413	0.20618941	1.0	227	tags=22%, list=10%, signal=24%	
GO:0022803	GO:0022803		15	-0.4857221	-1.3742412	0.09601449	0.20591524	1.0	268	tags=47%, list=12%, signal=53%	
GO:0005515	GO:0005515		16	-0.46853846	-1.3630687	0.10948905	0.21758744	1.0	686	tags=75%, list=31%, signal=108%	
GO:0016020	GO:0016020		23	-0.42027006	-1.3608379	0.10166359	0.21756853	1.0	518	tags=43%, list=23%, signal=56%	
GO:0006811	GO:0006811		55	-0.34492695	-1.3607372	0.0635514	0.21468621	1.0	521	tags=40%, list=23%, signal=51%	
GO:0006090	GO:0006090		21	-0.43796432	-1.3563708	0.09139785	0.21795714	1.0	265	tags=33%, list=12%, signal=37%	
GO:0098796	GO:0098796		23	-0.42027006	-1.3374104	0.112874776	0.24068765	1.0	518	tags=43%, list=23%, signal=56%	
GO:0044249	GO:0044249		332	-0.25538447	-1.3274715	0.017054264	0.2511504	1.0	606	tags=33%, list=27%, signal=38%	
GO:1901576	GO:1901576		422	-0.24606407	-1.3079009	0.0072886297	0.27667835	1.0	492	tags=27%, list=22%, signal=28%	
GO:0016310	GO:0016310		85	-0.30674455	-1.3060141	0.09075342	0.27621225	1.0	263	tags=19%, list=12%, signal=21%	
GO:0032774	GO:0032774		36	-0.36232188	-1.3052597	0.12891345	0.27377966	1.0	326	tags=28%, list=15%, signal=32%	
GO:0006796	GO:0006796		109	-0.288625	-1.3051579	0.06393442	0.27055025	1.0	268	tags=18%, list=12%, signal=20%	
GO:0043168	GO:0043168		108	-0.29406855	-1.303702	0.07130435	0.26942593	1.0	579	tags=39%, list=26%, signal=50%	
GO:0006096	GO:0006096		19	-0.42876366	-1.2990608	0.13721804	0.27373415	1.0	265	tags=32%, list=12%, signal=36%	
GO:0016772	GO:0016772		147	-0.27867702	-1.2975035	0.057755776	0.2728997	1.0	194	tags=15%, list=9%, signal=15%	
GO:0022890	GO:0022890		22	-0.40660626	-1.2929364	0.13427562	0.27693626	1.0	671	tags=59%, list=30%, signal=84%	
GO:0050789	GO:0050789		24	-0.392398	-1.2865599	0.14363636	0.2838841	1.0	482	tags=29%, list=22%, signal=37%	
GO:0000049	GO:0000049		25	-0.3889201	-1.2863265	0.13824058	0.28099716	1.0	739	tags=68%, list=33%, signal=101%	
GO:1901564	GO:1901564		371	-0.24583377	-1.2846758	0.025914634	0.28039506	1.0	655	tags=35%, list=29%, signal=41%	
GO:0043170	GO:0043170		323	-0.24664612	-1.2756988	0.016819572	0.29104343	1.0	465	tags=26%, list=21%, signal=28%	
GO:0098660	GO:0098660		35	-0.3513661	-1.272591	0.12208258	0.29272828	1.0	762	tags=60%, list=34%, signal=90%	
GO:0006082	GO:0006082		29	-0.36937115	-1.2655957	0.15283018	0.30123836	1.0	463	tags=38%, list=21%, signal=47%	
GO:0009058	GO:0009058		444	-0.2353948	-1.2497982	0.021276595	0.32406294	1.0	492	tags=26%, list=22%, signal=27%	
GO:0016616	GO:0016616		31	-0.3582619	-1.2407671	0.17726398	0.33589888	1.0	188	tags=19%, list=8%, signal=21%	
GO:0006164	GO:0006164		42	-0.33226568	-1.2319896	0.17307693	0.34776196	1.0	578	tags=45%, list=26%, signal=60%	
GO:0006793	GO:0006793		121	-0.26933262	-1.2284902	0.10033445	0.35032395	1.0	268	tags=17%, list=12%, signal=18%	
GO:0043648	GO:0043648		22	-0.38423985	-1.2262257	0.198915	0.35115585	1.0	603	tags=36%, list=27%, signal=49%	
GO:0006812	GO:0006812		48	-0.31517848	-1.2179812	0.17457627	0.36294973	1.0	762	tags=54%, list=34%, signal=81%	
GO:1901605	GO:1901605		84	-0.28361034	-1.2135266	0.12353923	0.36760208	1.0	596	tags=35%, list=27%, signal=45%	
GO:0016667	GO:0016667		18	-0.39791787	-1.2068696	0.22532588	0.37670276	1.0	219	tags=28%, list=10%, signal=31%	
GO:0003676	GO:0003676		305	-0.23336639	-1.1989465	0.05970149	0.38843265	1.0	465	tags=27%, list=21%, signal=29%	
GO:0009260	GO:0009260		42	-0.32216874	-1.1980948	0.20360361	0.38639227	1.0	518	tags=38%, list=23%, signal=49%	
GO:0006091	GO:0006091		24	-0.36594418	-1.1870189	0.25182483	0.4035851	1.0	265	tags=29%, list=12%, signal=33%	
GO:0004175	GO:0004175		24	-0.3625763	-1.1850628	0.2362949	0.40355086	1.0	183	tags=21%, list=8%, signal=22%	
GO:0004527	GO:0004527		18	-0.38394845	-1.1746418	0.25396827	0.42146713	1.0	782	tags=72%, list=35%, signal=111%	
GO:2001141	GO:2001141		98	-0.26173502	-1.1575129	0.19008264	0.4540886	1.0	458	tags=29%, list=21%, signal=34%	
GO:0004386	GO:0004386		17	-0.3807504	-1.1528741	0.28375733	0.4600164	1.0	340	tags=29%, list=15%, signal=34%	
GO:0043169	GO:0043169		294	-0.22649978	-1.1512975	0.1464873	0.4593359	1.0	657	tags=34%, list=30%, signal=42%	
GO:0140535	GO:0140535		17	-0.3832275	-1.1401448	0.3107861	0.4794621	1.0	612	tags=41%, list=28%, signal=56%	
GO:0006355	GO:0006355		97	-0.2594927	-1.1309416	0.23728813	0.49621955	1.0	354	tags=24%, list=16%, signal=27%	
GO:0009152	GO:0009152		40	-0.3021394	-1.1221358	0.28446773	0.5119587	1.0	518	tags=38%, list=23%, signal=48%	
GO:0034220	GO:0034220		46	-0.29095772	-1.1199526	0.2809773	0.5123287	1.0	469	tags=35%, list=21%, signal=43%	
GO:0010468	GO:0010468		103	-0.2529359	-1.1191119	0.26565143	0.509823	1.0	458	tags=27%, list=21%, signal=33%	
GO:0006351	GO:0006351		105	-0.25382045	-1.1182227	0.23141892	0.507595	1.0	458	tags=29%, list=21%, signal=34%	
GO:0003700	GO:0003700		52	-0.28346428	-1.1128577	0.2857143	0.51556826	1.0	354	tags=27%, list=16%, signal=31%	
GO:0006163	GO:0006163		45	-0.2934295	-1.1080117	0.30890054	0.52239007	1.0	578	tags=42%, list=26%, signal=56%	
GO:0035639	GO:0035639		300	-0.21550098	-1.1034508	0.21954887	0.52837944	1.0	634	tags=32%, list=29%, signal=39%	
GO:0140110	GO:0140110		54	-0.27227542	-1.0982435	0.29194632	0.53659934	1.0	354	tags=26%, list=16%, signal=30%	
GO:0051604	GO:0051604		22	-0.3447526	-1.0886421	0.35174954	0.55492836	1.0	259	tags=23%, list=12%, signal=25%	
GO:0017076	GO:0017076		37	-0.2984403	-1.0859811	0.31858408	0.5563899	1.0	690	tags=46%, list=31%, signal=66%	
GO:0009259	GO:0009259		44	-0.2906962	-1.0857682	0.31588447	0.5522272	1.0	518	tags=36%, list=23%, signal=46%	
GO:1901657	GO:1901657		15	-0.3772339	-1.0750337	0.34965035	0.57457095	1.0	533	tags=47%, list=24%, signal=61%	
GO:0033554	GO:0033554		31	-0.30981022	-1.0733517	0.37269372	0.57416016	1.0	615	tags=39%, list=28%, signal=53%	
GO:0043650	GO:0043650		18	-0.3605841	-1.0725169	0.3605948	0.57139987	1.0	603	tags=33%, list=27%, signal=45%	
GO:0036094	GO:0036094		338	-0.20594122	-1.0607299	0.29282576	0.59624994	1.0	640	tags=32%, list=29%, signal=38%	
GO:0016051	GO:0016051		15	-0.3699823	-1.0583066	0.3715415	0.5976478	1.0	265	tags=40%, list=12%, signal=45%	
GO:0006974	GO:0006974		43	-0.278771	-1.0565076	0.34223706	0.597575	1.0	615	tags=37%, list=28%, signal=50%	
GO:0022857	GO:0022857		137	-0.22924656	-1.056198	0.33441558	0.5935974	1.0	442	tags=24%, list=20%, signal=28%	
GO:0046872	GO:0046872		292	-0.20600078	-1.0514964	0.32503888	0.6006144	1.0	657	tags=33%, list=30%, signal=41%	
GO:0044283	GO:0044283		47	-0.2717001	-1.0497682	0.37345132	0.5999765	1.0	489	tags=28%, list=22%, signal=35%	
GO:0006281	GO:0006281		43	-0.278771	-1.0485799	0.3859964	0.5985073	1.0	615	tags=37%, list=28%, signal=50%	
GO:0006810	GO:0006810		225	-0.21139754	-1.0480778	0.35	0.59528655	1.0	442	tags=23%, list=20%, signal=25%	
GO:0016740	GO:0016740		334	-0.20109658	-1.0380337	0.35174417	0.6156866	1.0	598	tags=29%, list=27%, signal=34%	
GO:0009067	GO:0009067		15	-0.36385164	-1.0332698	0.43076923	0.62244153	1.0	263	tags=20%, list=12%, signal=23%	
GO:1901265	GO:1901265		330	-0.19839692	-1.0266446	0.39760837	0.63505805	1.0	640	tags=32%, list=29%, signal=38%	
GO:0000287	GO:0000287		52	-0.2572925	-1.0101448	0.44045368	0.6721759	1.0	485	tags=27%, list=22%, signal=34%	
