TermID	Name	Value	LogSize	Frequency	Uniqueness	Dispensability	Representative
GO:0005975	"carbohydrate metabolic process"	-2.27793204489914	6.220115151808519	5.521546466478484	0.8926034638946337	0.07173764	null
GO:0006066	"alcohol metabolic process"	-1.8749094	5.389924108316851	0.8163345541747027	0.6899528956213078	0.32711432	null
GO:0006091	"generation of precursor metabolites and energy"	-1.8452559	5.897738674144431	2.62835465282124	0.8754728561713601	0.08716455	null
GO:0006779	"porphyrin-containing compound biosynthetic process"	-1.9601187	5.17550601500055	0.49825189246377927	0.6988167310829323	0.19386541	null
GO:0008643	"carbohydrate transport"	-1.93721771641772	5.304509915487243	0.6705846414536847	0.9039877349486327	0	null
GO:0009056	"catabolic process"	-1.93705601153569	6.260468037413432	6.059177012419161	0.9270835774970972	0.03970407	null
GO:0009060	"aerobic respiration"	-2.12946580475228	5.4722765593963185	0.9867813586995857	0.8127496094657742	0	null
GO:0009401	"phosphoenolpyruvate-dependent sugar phosphotransferase system"	-1.87990746746206	4.820378820405488	0.21994702591547136	0.863517835253032	0.47325313	null
GO:0019318	"hexose metabolic process"	-1.94607078821697	5.315283743599112	0.6874284205910277	0.6268206827146919	0.03070148	null
GO:0033013	"tetrapyrrole metabolic process"	-1.880508	5.388225572523698	0.8131480730503791	0.8233820208454211	0.07632084	null
GO:0044238	"primary metabolic process"	-1.58776743244845	7.210955285610252	54.063119334849006	0.8941503501223214	0.08620057	null
GO:0044281	"small molecule metabolic process"	-1.47804404616899	6.658602684396198	15.15473791824727	0.9156142571718948	0.11778626	null
GO:0098655	"monoatomic cation transmembrane transport"	-1.766622	5.944016048508633	2.923892461650467	0.8684735068869452	0.32314658	null
GO:1901605	"alpha-amino acid metabolic process"	-1.85623345878084	6.029324108830442	3.5585210895822956	0.4872625831186278	0.39315403	null
GO:1901615	"organic hydroxy compound metabolic process"	-1.893992	5.555437877192316	1.1950401855849182	0.9206511134222272	0.04618357	null
