NAME	GS<br> follow link to MSigDB	GS DETAILS	SIZE	ES	NES	NOM p-val	FDR q-val	FWER p-val	RANK AT MAX	LEADING EDGE	
SEP00240	SEP00240	Details ...	26	0.61401737	2.095244	0.0	0.0026301588	0.004	57	tags=31%, list=3%, signal=31%	
SEP03060	SEP03060	Details ...	17	0.4092213	1.2286255	0.18614718	1.0	0.957	411	tags=35%, list=18%, signal=43%	
SEP03010	SEP03010	Details ...	73	0.28339434	1.2080336	0.15555556	0.74141335	0.969	524	tags=47%, list=23%, signal=59%	
SEP00250	SEP00250	Details ...	19	0.37486628	1.1805313	0.2454955	0.62642264	0.98	63	tags=21%, list=3%, signal=21%	
SEP00970	SEP00970	Details ...	28	0.31184846	1.0908026	0.32461873	0.7298503	0.997	116	tags=7%, list=5%, signal=7%	
SEP02010	SEP02010	Details ...	81	0.24079318	1.0613755	0.30804598	0.67527694	0.998	433	tags=27%, list=19%, signal=32%	
SEP00552	SEP00552	Details ...	23	0.30209714	0.9918853	0.47424892	0.73657584	0.999	648	tags=39%, list=29%, signal=54%	
SEP00230	SEP00230	Details ...	47	0.23838866	0.9371801	0.6152125	0.7546788	1.0	544	tags=34%, list=24%, signal=44%	
SEP02024	SEP02024	Details ...	49	0.20597559	0.82452744	0.79350346	0.89656746	1.0	250	tags=18%, list=11%, signal=20%	
SEP00400	SEP00400	Details ...	18	0.20786597	0.64157057	0.91855204	1.0	1.0	716	tags=50%, list=32%, signal=73%	
SEP00730	SEP00730	Details ...	16	0.13425678	0.4003415	1.0	0.9994623	1.0	540	tags=25%, list=24%, signal=33%	
