NAME	GS<br> follow link to MSigDB	GS DETAILS	SIZE	ES	NES	NOM p-val	FDR q-val	FWER p-val	RANK AT MAX	LEADING EDGE	
GO:0005975	GO:0005975	Details ...	72	-0.5954134	-2.4323442	0.0	0.0	0.0	230	tags=38%, list=10%, signal=40%	
GO:0009060	GO:0009060	Details ...	21	-0.7538628	-2.3550985	0.0	0.0	0.0	424	tags=71%, list=19%, signal=87%	
GO:0016491	GO:0016491	Details ...	170	-0.47548568	-2.2811244	0.0	3.4308946E-4	0.001	417	tags=39%, list=19%, signal=45%	
GO:1901575	GO:1901575	Details ...	70	-0.5258594	-2.1563182	0.0	0.0013620895	0.005	175	tags=27%, list=8%, signal=29%	
GO:0016052	GO:0016052	Details ...	25	-0.65678877	-2.155558	0.0	0.0010896716	0.005	230	tags=48%, list=10%, signal=53%	
GO:0016773	GO:0016773	Details ...	49	-0.55733275	-2.1232824	0.0	0.0018127931	0.01	200	tags=33%, list=9%, signal=35%	
GO:0005996	GO:0005996	Details ...	22	-0.6917453	-2.1196136	0.0	0.0015538225	0.01	230	tags=50%, list=10%, signal=55%	
GO:0019318	GO:0019318	Details ...	17	-0.7061255	-2.0794344	0.0	0.002157143	0.016	230	tags=53%, list=10%, signal=59%	
GO:0098704	GO:0098704	Details ...	18	-0.6644228	-2.0202827	0.0	0.0027573826	0.023	276	tags=56%, list=12%, signal=63%	
GO:0006783	GO:0006783	Details ...	15	-0.7038394	-1.9995154	0.0	0.0031214803	0.029	383	tags=60%, list=17%, signal=72%	
GO:0009401	GO:0009401	Details ...	18	-0.6644228	-1.9987547	0.0	0.0028377096	0.029	276	tags=56%, list=12%, signal=63%	
GO:0008643	GO:0008643	Details ...	21	-0.63274246	-1.9865375	0.0	0.0032264264	0.036	161	tags=48%, list=7%, signal=51%	
GO:0006779	GO:0006779	Details ...	16	-0.67152894	-1.9601187	0.0017699115	0.004706959	0.054	383	tags=56%, list=17%, signal=67%	
GO:1902600	GO:1902600	Details ...	23	-0.6025051	-1.9398153	0.0	0.0057764933	0.071	714	tags=78%, list=32%, signal=114%	
GO:0015144	GO:0015144	Details ...	15	-0.68732625	-1.9366931	0.0	0.005616397	0.074	276	tags=60%, list=12%, signal=68%	
GO:0006778	GO:0006778	Details ...	17	-0.65780944	-1.9340067	0.0	0.005472243	0.077	383	tags=53%, list=17%, signal=63%	
GO:0050661	GO:0050661	Details ...	18	-0.6540019	-1.9273887	0.0	0.005708904	0.085	614	tags=67%, list=28%, signal=91%	
GO:0033014	GO:0033014	Details ...	18	-0.6436925	-1.9239995	0.0017857143	0.0054478296	0.086	383	tags=50%, list=17%, signal=60%	
GO:0009056	GO:0009056	Details ...	51	-0.5026159	-1.9102037	0.0	0.006303765	0.104	74	tags=20%, list=3%, signal=20%	
GO:1901615	GO:1901615	Details ...	27	-0.567518	-1.893992	0.0016366612	0.0077215317	0.136	415	tags=37%, list=19%, signal=45%	
GO:0033013	GO:0033013		19	-0.63084984	-1.880508	0.0	0.008547501	0.155	383	tags=47%, list=17%, signal=57%	
GO:0006066	GO:0006066		23	-0.593217	-1.8749094	0.0017793594	0.008752865	0.167	415	tags=39%, list=19%, signal=48%	
GO:0043648	GO:0043648		22	-0.58499897	-1.8583901	0.0	0.010224921	0.2	575	tags=59%, list=26%, signal=79%	
GO:0009067	GO:0009067		15	-0.644528	-1.8460513	0.0018552876	0.011340059	0.231	232	tags=40%, list=10%, signal=44%	
GO:0006091	GO:0006091		29	-0.54380757	-1.8452559	0.0	0.011017317	0.234	304	tags=45%, list=14%, signal=51%	
GO:0005515	GO:0005515		16	-0.63029903	-1.8216962	0.0055555557	0.014098769	0.287	564	tags=69%, list=25%, signal=91%	
GO:0006006	GO:0006006		15	-0.6267476	-1.8127077	0.0055762082	0.01476281	0.307	230	tags=47%, list=10%, signal=52%	
GO:1901605	GO:1901605		72	-0.44632336	-1.8094388	0.0	0.014657415	0.317	407	tags=35%, list=18%, signal=41%	
