TermID	Name	Value	LogSize	Frequency	Uniqueness	Dispensability	Representative
GO:0010467	"gene expression"	1.42095475781589	6.465111183714701	9.706370753664654	0.7994548411265534	0.19856707	null
GO:0015031	"protein transport"	1.97154780177698	5.9264973036569994	2.808294377104807	0.6958145364578597	0	null
GO:0034470	"ncRNA processing"	1.68023018505239	5.906238042131346	2.6802996170368574	0.6364111954254007	0.01359209	null
GO:0043170	"macromolecule metabolic process"	1.32164291887524	7.061803881678349	38.34861513800723	0.8561544599206974	0.09490521	null
