NAME	GS<br> follow link to MSigDB	GS DETAILS	SIZE	ES	NES	NOM p-val	FDR q-val	FWER p-val	RANK AT MAX	LEADING EDGE	
SEP00790	SEP00790	Details ...	22	0.64294803	1.9092224	0.002967359	0.0045699337	0.006	87	tags=18%, list=4%, signal=19%	
SEP03060	SEP03060	Details ...	17	0.67144847	1.844315	0.0	0.005491362	0.016	314	tags=59%, list=14%, signal=68%	
SEP03010	SEP03010	Details ...	73	0.43538296	1.6485459	0.0	0.04652793	0.177	659	tags=58%, list=29%, signal=79%	
SEP03030	SEP03030	Details ...	16	0.4904627	1.2914908	0.16272967	0.31628174	0.825	270	tags=25%, list=12%, signal=28%	
SEP03430	SEP03430	Details ...	17	0.43861905	1.1858002	0.26612905	0.40500447	0.943	270	tags=24%, list=12%, signal=27%	
SEP03440	SEP03440	Details ...	20	0.41351753	1.1770563	0.24931507	0.35249338	0.952	328	tags=25%, list=15%, signal=29%	
SEP00550	SEP00550	Details ...	26	0.3688598	1.1274573	0.28125	0.37140176	0.98	665	tags=46%, list=30%, signal=65%	
SEP00730	SEP00730	Details ...	16	0.35735127	0.985044	0.44507042	0.53106314	0.998	606	tags=56%, list=27%, signal=76%	
SEP03018	SEP03018	Details ...	15	0.23283693	0.6172704	0.9444444	0.9578398	1.0	117	tags=13%, list=5%, signal=14%	
