NAME	GS<br> follow link to MSigDB	GS DETAILS	SIZE	ES	NES	NOM p-val	FDR q-val	FWER p-val	RANK AT MAX	LEADING EDGE	
GO:0009067	GO:0009067		15	-0.50435174	-1.1594783	0.2904762	0.60993725	1.0	403	tags=33%, list=18%, signal=40%	
GO:0046374	GO:0046374		17	-0.4939741	-1.1592504	0.31528664	0.6040834	1.0	702	tags=65%, list=32%, signal=94%	
GO:0046942	GO:0046942		20	-0.47424796	-1.1534579	0.30745813	0.61236185	1.0	311	tags=35%, list=14%, signal=40%	
GO:0006082	GO:0006082		29	-0.44523764	-1.1356301	0.31634182	0.6521395	1.0	797	tags=59%, list=36%, signal=90%	
GO:0043650	GO:0043650		18	-0.48511165	-1.1340535	0.31924883	0.64945513	1.0	583	tags=44%, list=26%, signal=60%	
GO:0016769	GO:0016769		16	-0.48580167	-1.1297442	0.3431221	0.65384114	1.0	110	tags=19%, list=5%, signal=20%	
GO:0008483	GO:0008483		16	-0.48580167	-1.1283178	0.32903227	0.65122724	1.0	110	tags=19%, list=5%, signal=20%	
GO:0019350	GO:0019350		17	-0.4939741	-1.1201288	0.33914423	0.6651263	1.0	702	tags=65%, list=32%, signal=94%	
GO:0004672	GO:0004672		20	-0.4518952	-1.1117921	0.33953488	0.6799226	1.0	319	tags=25%, list=14%, signal=29%	
GO:0015980	GO:0015980		21	-0.44440258	-1.0972703	0.3439394	0.7116254	1.0	443	tags=48%, list=20%, signal=59%	
GO:1901615	GO:1901615		27	-0.43793505	-1.0953777	0.36609685	0.7095986	1.0	374	tags=26%, list=17%, signal=31%	
GO:0009060	GO:0009060		21	-0.44440252	-1.0946146	0.35413417	0.70502436	1.0	443	tags=48%, list=20%, signal=59%	
GO:0045333	GO:0045333		21	-0.44440258	-1.0891404	0.35576922	0.71288234	1.0	443	tags=48%, list=20%, signal=59%	
GO:0005975	GO:0005975		72	-0.3657517	-1.0831923	0.34869242	0.72226095	1.0	780	tags=47%, list=35%, signal=70%	
GO:0007165	GO:0007165		33	-0.3992324	-1.0783089	0.34702548	0.7284962	1.0	25	tags=6%, list=1%, signal=6%	
GO:0055085	GO:0055085		160	-0.328214	-1.0763063	0.3432836	0.72704124	1.0	228	tags=16%, list=10%, signal=16%	
GO:0000160	GO:0000160		32	-0.40102914	-1.0733242	0.40085593	0.72865397	1.0	25	tags=6%, list=1%, signal=6%	
GO:1901564	GO:1901564		371	-0.30838355	-1.0710104	0.31062952	0.72855717	1.0	412	tags=18%, list=19%, signal=19%	
GO:0043169	GO:0043169		294	-0.31178245	-1.0622613	0.36306402	0.7444218	1.0	284	tags=14%, list=13%, signal=14%	
GO:0046872	GO:0046872		292	-0.31110916	-1.0565616	0.36506277	0.7532511	1.0	284	tags=14%, list=13%, signal=14%	
GO:0140359	GO:0140359		19	-0.44248024	-1.0550146	0.41324922	0.75082374	1.0	136	tags=26%, list=6%, signal=28%	
GO:0016740	GO:0016740		334	-0.30506915	-1.0540782	0.35817805	0.7468717	1.0	384	tags=16%, list=17%, signal=17%	
GO:0035556	GO:0035556		33	-0.3992324	-1.0395297	0.41244572	0.7788129	1.0	25	tags=6%, list=1%, signal=6%	
GO:0006811	GO:0006811		55	-0.3598311	-1.027241	0.4234234	0.80388707	1.0	163	tags=13%, list=7%, signal=13%	
GO:0016616	GO:0016616		31	-0.3908458	-1.0156989	0.46143058	0.8275428	1.0	374	tags=29%, list=17%, signal=34%	
GO:0005886	GO:0005886		15	-0.43092093	-1.0078043	0.42207792	0.84105885	1.0	439	tags=47%, list=20%, signal=58%	
GO:0050896	GO:0050896		55	-0.35620314	-1.0075077	0.47195622	0.8349011	1.0	36	tags=5%, list=2%, signal=5%	
GO:0043190	GO:0043190		15	-0.43092093	-1.0041494	0.44651163	0.83643144	1.0	439	tags=47%, list=20%, signal=58%	
GO:0016780	GO:0016780		15	-0.44273326	-0.9992029	0.4678179	0.84227836	1.0	235	tags=27%, list=11%, signal=30%	
GO:0016887	GO:0016887		88	-0.321604	-0.9921878	0.47654322	0.85318893	1.0	200	tags=16%, list=9%, signal=17%	
GO:0009058	GO:0009058		444	-0.28385174	-0.99079764	0.5342186	0.8499103	1.0	290	tags=12%, list=13%, signal=11%	
GO:0005215	GO:0005215		129	-0.303205	-0.989229	0.49714285	0.84714633	1.0	161	tags=13%, list=7%, signal=13%	
GO:0006793	GO:0006793		121	-0.30980992	-0.98755115	0.48690477	0.8449091	1.0	420	tags=22%, list=19%, signal=26%	
GO:0098533	GO:0098533		15	-0.43092093	-0.98672956	0.46763754	0.84017694	1.0	439	tags=47%, list=20%, signal=58%	
GO:1990351	GO:1990351		15	-0.43092093	-0.9847416	0.47115386	0.8383952	1.0	439	tags=47%, list=20%, signal=58%	
GO:0016787	GO:0016787		238	-0.28815395	-0.98266184	0.53944564	0.83719546	1.0	490	tags=23%, list=22%, signal=26%	
GO:0016462	GO:0016462		95	-0.3141499	-0.97730756	0.5137068	0.8442407	1.0	357	tags=22%, list=16%, signal=25%	
GO:0098797	GO:0098797		15	-0.43092093	-0.97435886	0.49238577	0.84483325	1.0	439	tags=47%, list=20%, signal=58%	
GO:1902495	GO:1902495		15	-0.43092093	-0.9689698	0.50405186	0.8516747	1.0	439	tags=47%, list=20%, signal=58%	
GO:0051234	GO:0051234		206	-0.28878874	-0.9680759	0.55664486	0.8473406	1.0	228	tags=13%, list=10%, signal=13%	
GO:0016051	GO:0016051		15	-0.43216172	-0.96622646	0.504	0.8456586	1.0	516	tags=47%, list=23%, signal=60%	
GO:0008324	GO:0008324		39	-0.3581313	-0.96601474	0.50555557	0.83995587	1.0	823	tags=54%, list=37%, signal=84%	
GO:0016020	GO:0016020		23	-0.38690037	-0.9658859	0.49925485	0.834122	1.0	439	tags=30%, list=20%, signal=38%	
GO:0043168	GO:0043168		108	-0.30359226	-0.96510816	0.5345838	0.83016527	1.0	254	tags=16%, list=11%, signal=17%	
GO:1901565	GO:1901565		24	-0.38620466	-0.9640406	0.49853373	0.8268969	1.0	596	tags=46%, list=27%, signal=62%	
GO:0140657	GO:0140657		118	-0.30118853	-0.9582913	0.5466352	0.8338914	1.0	200	tags=14%, list=9%, signal=15%	
GO:0046914	GO:0046914		87	-0.3120319	-0.95676285	0.5461255	0.8316838	1.0	600	tags=37%, list=27%, signal=48%	
GO:0022857	GO:0022857		137	-0.29501027	-0.9538621	0.55959135	0.83249265	1.0	161	tags=12%, list=7%, signal=13%	
GO:0016818	GO:0016818		96	-0.30695853	-0.9500559	0.5582233	0.83519	1.0	200	tags=16%, list=9%, signal=16%	
GO:0022803	GO:0022803		15	-0.4053768	-0.94971514	0.5214626	0.8301691	1.0	916	tags=67%, list=41%, signal=113%	
GO:0098796	GO:0098796		23	-0.38690037	-0.9418014	0.5405405	0.8424956	1.0	439	tags=30%, list=20%, signal=38%	
GO:0022804	GO:0022804		81	-0.30969188	-0.9371444	0.5591133	0.84758604	1.0	136	tags=12%, list=6%, signal=13%	
GO:0030001	GO:0030001		58	-0.32179797	-0.93354374	0.5680317	0.849795	1.0	501	tags=28%, list=23%, signal=35%	
GO:0015399	GO:0015399		34	-0.34492424	-0.92864376	0.5565217	0.85510087	1.0	136	tags=18%, list=6%, signal=19%	
GO:0043603	GO:0043603		37	-0.34220856	-0.9245415	0.58064514	0.8584488	1.0	370	tags=24%, list=17%, signal=29%	
GO:0016614	GO:0016614		37	-0.34026548	-0.9237839	0.5589041	0.8544414	1.0	374	tags=32%, list=17%, signal=38%	
GO:0019637	GO:0019637		61	-0.3168135	-0.92322415	0.5805243	0.8498592	1.0	408	tags=26%, list=18%, signal=31%	
GO:0015267	GO:0015267		15	-0.4053768	-0.92117375	0.5537975	0.8487155	1.0	916	tags=67%, list=41%, signal=113%	
GO:0140299	GO:0140299		20	-0.37930888	-0.91965526	0.54172987	0.8464597	1.0	319	tags=15%, list=14%, signal=17%	
GO:0016765	GO:0016765		16	-0.39366773	-0.91431314	0.56792146	0.8524553	1.0	169	tags=13%, list=8%, signal=13%	
GO:0006810	GO:0006810		225	-0.27284855	-0.9111846	0.68850696	0.8533007	1.0	228	tags=12%, list=10%, signal=12%	
GO:0071702	GO:0071702		61	-0.30998036	-0.9089419	0.5897436	0.8523	1.0	111	tags=10%, list=5%, signal=10%	
GO:0004673	GO:0004673		15	-0.397342	-0.90467405	0.5652174	0.85591733	1.0	319	tags=20%, list=14%, signal=23%	
GO:0016775	GO:0016775		16	-0.39683038	-0.9032086	0.5906902	0.8534637	1.0	25	tags=6%, list=1%, signal=6%	
GO:0043167	GO:0043167		111	-0.284536	-0.8881394	0.67920095	0.8785821	1.0	254	tags=15%, list=11%, signal=16%	
GO:0042626	GO:0042626		30	-0.3416145	-0.88754773	0.61651915	0.8743886	1.0	136	tags=17%, list=6%, signal=18%	
GO:0017111	GO:0017111		103	-0.2851713	-0.88611156	0.64	0.87179846	1.0	200	tags=14%, list=9%, signal=14%	
GO:0051539	GO:0051539		27	-0.34707302	-0.8806224	0.62445414	0.8772742	1.0	268	tags=19%, list=12%, signal=21%	
GO:0009084	GO:0009084		21	-0.36774668	-0.8799166	0.60493827	0.8733718	1.0	587	tags=29%, list=26%, signal=38%	
GO:1901576	GO:1901576		422	-0.24982777	-0.86289626	0.822335	0.90207183	1.0	290	tags=11%, list=13%, signal=11%	
GO:0051716	GO:0051716		21	-0.35818622	-0.8621185	0.65678626	0.89803725	1.0	25	tags=5%, list=1%, signal=5%	
GO:0042180	GO:0042180		15	-0.38236308	-0.85917705	0.63054186	0.89846563	1.0	225	tags=27%, list=10%, signal=29%	
GO:0006796	GO:0006796		109	-0.26849598	-0.84379494	0.7302709	0.92266405	1.0	635	tags=33%, list=29%, signal=44%	
GO:0042546	GO:0042546		21	-0.34078184	-0.84153867	0.6568779	0.9216042	1.0	702	tags=52%, list=32%, signal=76%	
GO:0098655	GO:0098655		37	-0.31043062	-0.8364661	0.6593245	0.92553484	1.0	163	tags=11%, list=7%, signal=11%	
GO:1901135	GO:1901135		74	-0.27252185	-0.8270916	0.74129355	0.9378165	1.0	620	tags=34%, list=28%, signal=45%	
GO:0044249	GO:0044249		332	-0.23860617	-0.8244756	0.873817	0.9370728	1.0	429	tags=16%, list=19%, signal=17%	
GO:0097367	GO:0097367		15	-0.35966727	-0.81941086	0.6864952	0.9406212	1.0	289	tags=20%, list=13%, signal=23%	
GO:0015318	GO:0015318		26	-0.32347134	-0.81837183	0.6842878	0.93706894	1.0	132	tags=12%, list=6%, signal=12%	
GO:0050789	GO:0050789		24	-0.32292303	-0.79952997	0.70364743	0.96546763	1.0	274	tags=13%, list=12%, signal=14%	
