"","Gene","log2FoldChange","padj"
"1","F1613_RS01910_C",4.66725694996886,8.62946008389884e-08
"2","ffs_C",3.4030627425461,0.000794705113504951
"3","F1613_RS01990_C",3.33979014301915,0.000714252847825323
"4","F1613_RS11745_C",3.17333613051268,0.0035943858392319
"5","F1613_RS07200_C",2.78987037827105,0.00192352881140511
"6","F1613_RS10325_C",2.76815991880448,0.00196495642919077
"7","F1613_RS11740_C",2.75010930475142,0.00218633563219822
"8","F1613_RS01995_C",2.61019558420732,0.000684956100519022
"9","F1613_RS10310_C",2.41768772263449,0.000933137661632974
"10","F1613_RS11280_C",2.40880027123139,3.46599629015384e-05
"11","F1613_RS02965_C",2.31304501857547,9.58512831300649e-11
"12","F1613_RS02255_C",2.30512697182791,1.28261886669368e-10
"13","ssrA_C",2.23625777678293,0.0083884502841471
"14","F1613_RS10345_C",2.20833174699943,0.0016571657658006
"15","pyrR_C",2.18519846131164,1.06573983584048e-08
"16","F1613_RS10320_C",2.15419595060663,0.00744350866496592
"17","F1613_RS06485_C",2.11207244311601,5.27117154913782e-07
"18","F1613_RS07055_C",2.07295194349304,0.000494911919851945
"19","F1613_RS10530_C",2.06988993036706,0.0112073883391335
"20","F1613_RS00340_C",2.03359146092839,1.04704347188158e-07
"21","F1613_RS00345_C",1.97775731181058,2.7045222717597e-07
"22","F1613_RS03065_C",1.94137437487834,1.60909955481969e-08
"23","F1613_RS10525_C",1.93717761562718,0.013902119958068
"24","F1613_RS10330_C",1.92847199603608,0.0101540263758344
"25","purE_C",1.92762087472775,2.58334051352298e-14
"26","F1613_RS10550_C",1.84938924524399,0.0127812891841242
"27","F1613_RS12625_C",1.83353783073563,6.28226896372351e-07
"28","F1613_RS02580_C",1.80121356622016,3.72009583166746e-07
"29","F1613_RS10410_C",1.77060068439195,0.00899036068723566
"30","F1613_RS10340_C",1.73757104107383,0.0112297336686624
"31","F1613_RS10535_C",1.71042576240643,0.00928308240447099
"32","F1613_RS10540_C",1.70369300286544,0.0140872016035239
"33","F1613_RS10545_C",1.68715494266384,0.012229228611764
"34","F1613_RS02235_C",1.67269745755419,5.21929846379237e-11
"35","F1613_RS02000_C",1.64920554053347,0.0121142981527818
"36","F1613_RS05550_C",1.62863625921045,2.3050871539081e-05
"37","F1613_RS01535_C",1.61349377883024,1.18503030980981e-08
"38","F1613_RS12655_C",1.58373507932849,0.00365424904864575
"39","F1613_RS12600_C",1.57146179425081,0.000148084298776548
"40","F1613_RS10555_C",1.55801580185048,0.0136281752321751
"41","tsaE_C",1.5515427577559,3.81446913374913e-07
"42","F1613_RS01115_C",1.52206193001454,0.00264960400275053
"43","F1613_RS01175_C",1.51869318951733,4.58596312530858e-08
"44","gehC_C",-1.65966536823815,5.38535392946807e-13
"45","F1613_RS02665_C",-1.7097626954688,0.000534011381992132
"46","F1613_RS05685_C",-1.71330105710607,0.0030384622824971
"47","F1613_RS11920_C",-1.72071056925825,2.10622682618894e-06
"48","F1613_RS00920_C",-1.73733289786918,8.563943397794e-09
"49","F1613_RS03325_C",-1.80960526499224,0.00238652982178088
"50","F1613_RS06500_C",-1.85216657864601,4.68971858693156e-05
"51","F1613_RS10140_C",-1.86785929676101,2.91656600692906e-05
"52","narH_C",-1.88463252752324,7.60177876406983e-05
"53","ptsG_C",-1.89078837876848,1.0212597854185e-09
"54","F1613_RS01745_C",-1.98299891295256,6.21400636762183e-05
"55","F1613_RS07025_C",-1.99808843501904,7.60149010833311e-16
"56","F1613_RS07845_C",-2.06558767649062,8.80365264501424e-07
"57","lacB_C",-2.07992289673754,1.60909955481969e-08
"58","F1613_RS10135_C",-2.14637447615169,1.20643252419854e-06
"59","F1613_RS09950_C",-2.20173426953947,8.69270944845966e-10
"60","F1613_RS12690_C",-2.20734476579501,1.50339259902109e-05
"61","F1613_RS00485_C",-2.23516952044654,0.000194102702429925
"62","lacA_C",-2.2414689118325,1.2960551416276e-10
"63","F1613_RS00050_C",-2.25528206573376,7.05628031149491e-06
"64","F1613_RS03775_C",-2.29424895243294,1.25618118225842e-06
"65","adhP_C",-2.32695843944698,2.85120685277772e-09
"66","F1613_RS06465_C",-2.32744019140745,9.41609010100035e-07
"67","F1613_RS12520_C",-2.34307952471075,6.72956767590351e-08
"68","rbsD_C",-2.36249986846866,1.28261886669368e-10
"69","rbsU_C",-2.42563040183167,1.3295836866073e-10
"70","F1613_RS00870_C",-2.45084195824373,1.17094097717697e-10
"71","F1613_RS03435_C",-2.46005443767051,1.3295836866073e-10
"72","F1613_RS07835_C",-2.50929293814904,1.66144171741744e-09
"73","F1613_RS05750_C",-2.51498723410571,2.68484831876703e-06
"74","sdaAA_C",-2.51585731765602,4.16211032345074e-08
"75","F1613_RS05160_C",-2.63545974143978,2.88803270049974e-10
"76","pflA_C",-2.85299528039138,1.45968231340572e-05
"77","F1613_RS03360_C",-2.98416001556861,2.16770556924366e-09
"78","F1613_RS00520_C",-2.9911252005393,6.5562801255159e-06
"79","F1613_RS01060_C",-3.16247719067888,9.72896031687463e-07
"80","raiA_C",-3.19436891970658,6.69691108271273e-16
"81","sdaAB_C",-3.34189225142902,4.58596312530858e-08
"82","F1613_RS10155_C",-3.75317176393164,0.00113957255630597
"83","pfkB_C",-4.1255812637482,9.79260506716992e-14
"84","F1613_RS05150_C",-4.52196785088634,1.50076107070572e-10
"85","pflB_C",-5.09663020487492,1.66144171741744e-09
