"","Gene","log2FoldChange","padj"
"1","F1613_RS01910_C",2.66335789518584,0.0010989976849459
"2","F1613_RS02905_C",2.01741678605715,0.00301224898671231
"3","F1613_RS11280_C",1.80844489634321,0.00119177811665319
"4","F1613_RS07200_C",1.78700078450174,0.0153178746610905
"5","F1613_RS01175_C",1.67092319668846,2.47112331542144e-09
"6","F1613_RS06485_C",1.64400094546415,6.88039886948428e-05
"7","purE_C",1.64294407373552,8.4162349965414e-11
"8","pyrR_C",1.62961872822425,1.65207578174532e-05
"9","F1613_RS02255_C",1.59085206523932,6.21969643418433e-06
"10","F1613_RS01975_C",1.57277165817026,0.0199934123713456
"11","F1613_RS00340_C",1.5228736602261,5.07587286683633e-05
"12","F1613_RS02580_C",1.50638129674467,1.89595394993024e-05
"13","narH_C",-1.50012995278351,0.00112351632401415
"14","F1613_RS05760_C",-1.50346831696721,0.00140550809635505
"15","F1613_RS07025_C",-1.51637900845676,8.84022388226752e-10
"16","F1613_RS01370_C",-1.52703358381383,0.00161434707336942
"17","F1613_RS00455_C",-1.53506092886233,2.78029170776342e-08
"18","mspA_C",-1.54200031082212,0.00991979434008097
"19","F1613_RS00485_C",-1.54427921137281,0.0049980357861128
"20","F1613_RS03150_C",-1.57755652466377,0.000498168849662136
"21","F1613_RS08905_C",-1.58521800163441,0.00465317998735203
"22","F1613_RS02390_C",-1.59489922064151,3.61465861147069e-05
"23","rbsU_C",-1.5965448031316,1.63454851889189e-05
"24","sarA_C",-1.60453958013397,1.46820161954601e-06
"25","F1613_RS08550_C",-1.62661595382933,0.000212284016520214
"26","F1613_RS08950_C",-1.64133679663274,1.96069804777607e-05
"27","F1613_RS11790_C",-1.65668473477327,0.00123352166663827
"28","lacD_C",-1.66956942593056,1.24979765965793e-05
"29","F1613_RS06800_C",-1.67102621356538,3.52382502805065e-05
"30","F1613_RS12730_P",-1.67601700507493,5.16608388774255e-05
"31","F1613_RS01745_C",-1.68731440548249,0.00049043009856278
"32","F1613_RS01140_C",-1.70648726025924,2.19833111582644e-07
"33","F1613_RS11815_C",-1.71653898643867,2.19353841081691e-07
"34","F1613_RS08480_C",-1.72015320292923,8.1050027857369e-05
"35","F1613_RS06505_C",-1.74446052746467,4.61812259814361e-06
"36","adhP_C",-1.7472317603153,7.07831201726617e-06
"37","F1613_RS05915_C",-1.78290373942578,4.73509731014231e-09
"38","rbsD_C",-1.80925168450298,5.59804713073687e-07
"39","F1613_RS00870_C",-1.83991097044628,7.64866190307112e-07
"40","F1613_RS11015_C",-1.84295274050567,0.00176808595830392
"41","F1613_RS11005_C",-1.88026028135878,6.51226607135541e-07
"42","F1613_RS11655_C",-1.88693068696992,2.83911339240944e-07
"43","F1613_RS11920_C",-1.92221244966459,1.67303928818332e-07
"44","sdaAB_C",-1.94793873086471,0.000753678291212708
"45","F1613_RS00520_C",-1.97311380494894,0.00153285026025412
"46","F1613_RS03275_C",-1.97768657834735,2.12440946731629e-05
"47","F1613_RS03505_C",-2.04590560475975,0.00308960939452824
"48","F1613_RS10275_C",-2.06056021506962,0.012928545245717
"49","pmtD_C",-2.10431376320225,3.21232633878582e-07
"50","pflA_C",-2.11278430896377,0.000780879451864525
"51","F1613_RS06740_C",-2.11551321522566,0.00324958657643563
"52","F1613_RS00050_C",-2.12462316056218,1.96069804777607e-05
"53","F1613_RS12650_C",-2.204885864616,0.000188083654448653
"54","F1613_RS05160_C",-2.21896070615963,9.55992328991932e-08
"55","lacB_C",-2.26356160180032,1.30727761116929e-09
"56","F1613_RS07835_C",-2.26583314591839,4.96856496233882e-08
"57","F1613_RS03155_C",-2.26827965598147,5.1549733588009e-07
"58","pflB_C",-2.29599069396477,0.00238176056711674
"59","F1613_RS10140_C",-2.42522917456537,1.18810619089867e-07
"60","F1613_RS06210_C",-2.43499590071362,5.73391330097368e-08
"61","lacA_C",-2.46000162605974,2.03384201393166e-12
"62","pmtB_C",-2.50185431093756,2.85938994058612e-07
"63","F1613_RS02665_C",-2.50500720485444,2.42387015855024e-06
"64","F1613_RS12420_P",-2.53202752412621,9.04468869524977e-11
"65","F1613_RS09950_C",-2.55032428262034,2.03384201393166e-12
"66","F1613_RS10135_C",-2.65563381155317,3.54616519277438e-09
"67","F1613_RS03325_C",-2.72527511317954,2.72253575360218e-05
"68","F1613_RS07845_C",-2.75087875703249,1.3120270537177e-10
"69","F1613_RS10155_C",-2.76492541413491,0.00573112364466248
"70","F1613_RS09865_C",-2.78941972562408,4.35473213894492e-06
"71","F1613_RS04980_C",-2.9007024130457,1.50573932484083e-06
"72","F1613_RS05150_C",-2.90125534328355,2.32019521284478e-05
"73","F1613_RS05685_C",-2.91716218504035,7.07831201726617e-06
"74","pfkB_C",-2.93474664366806,9.02052718591267e-08
"75","F1613_RS06500_C",-3.05089340646228,2.2885251814004e-10
"76","raiA_C",-3.06795329226406,1.35242140974736e-14
"77","F1613_RS12520_C",-3.26432954860749,3.7915206603248e-13
"78","F1613_RS06465_C",-3.30401619943182,1.43741240654916e-11
"79","F1613_RS03360_C",-3.8619350573611,3.26587690877711e-14
"80","F1613_RS03365_C",-4.08648273261327,0.00359145959390482
"81","F1613_RS05750_C",-4.20966532218897,3.26587690877711e-14
