"","Gene","log2FoldChange","padj"
"1","F1613_RS01910_C",3.22752806258701,0.000266725970344132
"2","F1613_RS01990_C",1.98710663615408,0.019055703005051
"3","F1613_RS01175_C",1.7728006143979,7.76893947768646e-10
"4","F1613_RS02255_C",1.62017028851192,8.66108734404706e-06
"5","F1613_RS01535_C",1.56872307922652,7.37266722469137e-08
"6","purE_C",1.50428345953316,3.73492872249379e-09
"7","F1613_RS11815_C",-1.53816998990516,6.519240286048e-06
"8","sdaAA_C",-1.57487633006059,0.00063803924530697
"9","pmtB_C",-1.60606414462799,0.000983970984991672
"10","adhP_C",-1.68865134721206,2.57702802225433e-05
"11","pflA_C",-1.71432288737058,0.0067124772599381
"12","F1613_RS07025_C",-1.72990354236672,6.14525389204076e-12
"13","F1613_RS10140_C",-1.75155744457943,0.000158420643944486
"14","F1613_RS02665_C",-1.75357894584627,0.000738977360457103
"15","F1613_RS11790_C",-1.80016656550229,0.00103185886224797
"16","F1613_RS03435_C",-1.8311746902668,3.05843361656535e-06
"17","rbsU_C",-1.83288963506418,2.13157565584063e-06
"18","ptsG_C",-1.83607855887648,4.8061478898286e-09
"19","F1613_RS01060_C",-1.8409650592236,0.00371432806630642
"20","rbsD_C",-1.88995717393882,3.8474577768648e-07
"21","F1613_RS10135_C",-1.89108423004924,3.50810518983948e-05
"22","F1613_RS05750_C",-1.8986002246463,0.00050246756720616
"23","F1613_RS00870_C",-1.9112338352362,6.08588175462118e-07
"24","lacD_C",-1.92989018400611,1.17016889057816e-06
"25","pmtD_C",-1.98054554653332,2.86838973154727e-06
"26","F1613_RS12690_C",-2.07543587898304,7.81893669856396e-05
"27","F1613_RS05685_C",-2.07867022965266,0.00111998466579137
"28","F1613_RS03360_C",-2.10666332602728,3.21728392084529e-05
"29","F1613_RS07835_C",-2.14917055196111,4.10754665764928e-07
"30","sdaAB_C",-2.20480518253485,0.000369023316140851
"31","pflB_C",-2.20513334387518,0.00561694090109777
"32","F1613_RS07845_C",-2.23424549247522,3.47747209505367e-07
"33","F1613_RS09950_C",-2.23986709810423,1.04733488626294e-09
"34","lacB_C",-2.252326858721,2.71281655796162e-09
"35","F1613_RS06500_C",-2.26939020167558,2.4197686657336e-06
"36","F1613_RS11920_C",-2.27192101790578,1.56633189364449e-09
"37","F1613_RS12520_C",-2.29392751744201,3.47747209505367e-07
"38","F1613_RS00050_C",-2.30710562564757,1.07913813105919e-05
"39","F1613_RS05160_C",-2.43303727109035,9.93337591985121e-09
"40","lacA_C",-2.69634309499114,3.73733354128177e-14
"41","raiA_C",-2.89696613853813,3.17495787029598e-13
"42","F1613_RS06465_C",-3.04773858675794,8.1721190156941e-10
"43","F1613_RS05150_C",-3.21179078744234,8.49001842349306e-06
"44","pfkB_C",-3.29475478108434,3.91760521022429e-09
