"","Gene","log2FoldChange","padj"
"1","F1613_RS07200_C",3.05033620908023,0.00353859734929967
"2","pyrR_C",1.669936538068,4.81282331821009e-05
"3","rbsU_C",-1.50227068524433,0.000170560993420373
"4","F1613_RS05160_C",-1.55737595466008,0.000473033455362791
"5","lacB_C",-1.57715546001161,7.31120293413474e-05
"6","F1613_RS07835_C",-1.58595848454408,0.000323833274098208
"7","F1613_RS08165_C",-1.59505156591978,3.89479075397922e-06
"8","F1613_RS12520_C",-1.60492446455151,0.000520749074544104
"9","F1613_RS11920_C",-1.64237834984881,2.72036846047195e-05
"10","pflB_C",-1.66139338842828,0.0329079546289604
"11","lacA_C",-1.68637673961197,3.89479075397922e-06
"12","sdaAB_C",-1.69382571205603,0.00822654690162926
"13","F1613_RS00870_C",-1.77926143821108,6.76562127098972e-06
"14","F1613_RS05150_C",-1.87743588288802,0.00981160014717139
"15","F1613_RS12690_C",-1.89266499464086,0.000592406219254204
"16","F1613_RS05750_C",-1.92200242851365,0.000854532554110938
"17","raiA_C",-1.92264520848137,3.74541063158218e-06
"18","F1613_RS06500_C",-2.03443113335137,4.81282331821009e-05
"19","pfkB_C",-2.41935353259325,3.99909547462442e-05
"20","F1613_RS09950_C",-2.61978757142909,2.07675375532183e-12
"21","F1613_RS07845_C",-2.64152379789621,2.66237131546895e-09
"22","F1613_RS06465_C",-3.25206033377416,1.08472662100488e-10
