NAME	GS<br> follow link to MSigDB	GS DETAILS	SIZE	ES	NES	NOM p-val	FDR q-val	FWER p-val	RANK AT MAX	LEADING EDGE	
GO:0098704	GO:0098704	Details ...	18	-0.74361587	-2.131313	0.0	0.0013731405	0.002	319	tags=61%, list=14%, signal=71%	
GO:0009060	GO:0009060	Details ...	21	-0.70755476	-2.1206775	0.0	6.8657025E-4	0.002	457	tags=62%, list=21%, signal=77%	
GO:0009401	GO:0009401	Details ...	18	-0.74361587	-2.1058683	0.0	7.084923E-4	0.003	319	tags=61%, list=14%, signal=71%	
GO:0015144	GO:0015144	Details ...	15	-0.7413714	-2.044447	0.0	0.0016315986	0.009	319	tags=67%, list=14%, signal=77%	
GO:0008643	GO:0008643	Details ...	21	-0.67104983	-1.9719201	0.0016233766	0.0045479573	0.031	319	tags=57%, list=14%, signal=66%	
GO:1902600	GO:1902600	Details ...	23	-0.6427351	-1.955986	0.0	0.005026648	0.041	482	tags=57%, list=22%, signal=71%	
GO:0008652	GO:0008652	Details ...	74	-0.48934683	-1.9039273	0.0	0.0082643125	0.077	635	tags=50%, list=29%, signal=68%	
GO:1901607	GO:1901607	Details ...	42	-0.53556633	-1.8746909	0.0	0.011011416	0.114	546	tags=50%, list=25%, signal=65%	
GO:0006525	GO:0006525	Details ...	20	-0.6400068	-1.8736777	0.0	0.0097879255	0.114	593	tags=75%, list=27%, signal=101%	
GO:1901605	GO:1901605	Details ...	72	-0.47902104	-1.8423785	0.0	0.01362286	0.17	546	tags=46%, list=25%, signal=59%	
GO:0009084	GO:0009084	Details ...	21	-0.6196458	-1.8341062	0.0	0.013931431	0.187	483	tags=62%, list=22%, signal=78%	
GO:0016491	GO:0016491	Details ...	170	-0.41601643	-1.8178993	0.0	0.01625675	0.232	584	tags=42%, list=26%, signal=53%	
GO:0016773	GO:0016773	Details ...	49	-0.5011044	-1.8064377	0.0	0.017751133	0.262	327	tags=37%, list=15%, signal=42%	
GO:0005975	GO:0005975	Details ...	72	-0.4701251	-1.7880309	0.0014925373	0.020783175	0.324	406	tags=40%, list=18%, signal=48%	
GO:0009064	GO:0009064	Details ...	39	-0.5273241	-1.7819879	0.0	0.02105133	0.344	506	tags=51%, list=23%, signal=65%	
GO:0015297	GO:0015297	Details ...	23	-0.58838123	-1.7809873	0.0033167496	0.020098317	0.349	574	tags=48%, list=26%, signal=64%	
GO:0006520	GO:0006520	Details ...	105	-0.437193	-1.7802126	0.0	0.019006293	0.35	697	tags=50%, list=31%, signal=70%	
GO:0043436	GO:0043436	Details ...	123	-0.42206806	-1.757839	0.0	0.022852173	0.424	546	tags=42%, list=25%, signal=53%	
GO:0098662	GO:0098662	Details ...	30	-0.52963376	-1.726981	0.001607717	0.030450704	0.557	482	tags=43%, list=22%, signal=55%	
GO:0050661	GO:0050661	Details ...	18	-0.6002574	-1.7160586	0.0049668876	0.03236127	0.601	359	tags=39%, list=16%, signal=46%	
GO:0008483	GO:0008483		16	-0.62126917	-1.7087075	0.0	0.032981206	0.622	211	tags=31%, list=9%, signal=34%	
GO:0005996	GO:0005996		22	-0.5657809	-1.6938099	0.010135135	0.03687445	0.695	613	tags=64%, list=28%, signal=87%	
GO:0016769	GO:0016769		16	-0.62126917	-1.6935952	0.011784512	0.035303768	0.696	211	tags=31%, list=9%, signal=34%	
GO:0019318	GO:0019318		17	-0.5905727	-1.6680633	0.011513158	0.043837618	0.791	613	tags=71%, list=28%, signal=97%	
GO:0110165	GO:0110165		24	-0.5380418	-1.6602951	0.0049586776	0.045300905	0.809	482	tags=46%, list=22%, signal=58%	
GO:0016052	GO:0016052		25	-0.5242702	-1.6304992	0.007836991	0.057209402	0.883	683	tags=68%, list=31%, signal=97%	
GO:0046394	GO:0046394		91	-0.4049949	-1.6290568	0.0	0.05589538	0.885	546	tags=40%, list=25%, signal=50%	
GO:0022890	GO:0022890		22	-0.5340557	-1.6264939	0.017295597	0.055441618	0.891	482	tags=55%, list=22%, signal=69%	
GO:0016053	GO:0016053		106	-0.39546683	-1.6228765	0.0026809652	0.055285495	0.897	556	tags=36%, list=25%, signal=46%	
GO:0019752	GO:0019752		138	-0.37854174	-1.62193	0.0	0.05390573	0.899	683	tags=47%, list=31%, signal=64%	
GO:0006066	GO:0006066		23	-0.542812	-1.6205912	0.00821018	0.052922077	0.904	734	tags=57%, list=33%, signal=84%	
GO:1901575	GO:1901575		70	-0.4201879	-1.605682	0.004411765	0.05881337	0.93	683	tags=47%, list=31%, signal=66%	
GO:0098655	GO:0098655		37	-0.47773144	-1.6053659	0.007788162	0.057185613	0.931	794	tags=59%, list=36%, signal=91%	
GO:0009056	GO:0009056		51	-0.44269857	-1.6028479	0.0071225073	0.056754112	0.936	154	tags=18%, list=7%, signal=19%	
GO:0009066	GO:0009066		19	-0.5449348	-1.6010983	0.017656501	0.05602504	0.938	546	tags=53%, list=25%, signal=69%	
GO:1901615	GO:1901615		27	-0.51602685	-1.5997553	0.01923077	0.055239506	0.941	504	tags=41%, list=23%, signal=52%	
