NAME	GS<br> follow link to MSigDB	GS DETAILS	SIZE	ES	NES	NOM p-val	FDR q-val	FWER p-val	RANK AT MAX	LEADING EDGE	
GO:0008033	GO:0008033	Details ...	32	0.6284609	2.2958808	0.0	0.0	0.0	422	tags=53%, list=19%, signal=65%	
GO:0006396	GO:0006396	Details ...	42	0.5810489	2.233002	0.0	0.0	0.0	422	tags=45%, list=19%, signal=55%	
GO:0009451	GO:0009451	Details ...	40	0.57584745	2.2154884	0.0	0.0020683487	0.004	667	tags=63%, list=30%, signal=88%	
GO:0006400	GO:0006400	Details ...	25	0.6394142	2.189652	0.0	0.0019494098	0.005	587	tags=64%, list=26%, signal=86%	
GO:0034660	GO:0034660	Details ...	46	0.5511246	2.177515	0.0	0.0015595278	0.005	422	tags=41%, list=19%, signal=50%	
GO:0006399	GO:0006399	Details ...	42	0.55890995	2.1763728	0.0	0.0012996065	0.005	422	tags=43%, list=19%, signal=52%	
GO:0034470	GO:0034470	Details ...	51	0.52293354	2.0750515	0.0	0.003802231	0.017	587	tags=51%, list=26%, signal=68%	
GO:0043412	GO:0043412	Details ...	48	0.4843005	1.9541773	0.0	0.014429243	0.07	633	tags=52%, list=28%, signal=71%	
GO:0032196	GO:0032196	Details ...	17	0.637929	1.9096843	0.004842615	0.02045208	0.11	686	tags=82%, list=31%, signal=118%	
GO:0006139	GO:0006139	Details ...	108	0.41714454	1.9038138	0.0	0.01974781	0.119	632	tags=48%, list=28%, signal=64%	
GO:1901657	GO:1901657	Details ...	15	0.650438	1.8795408	0.0	0.022584751	0.144	312	tags=53%, list=14%, signal=62%	
GO:0055086	GO:0055086	Details ...	39	0.48929927	1.8531586	0.0028818443	0.026024602	0.18	520	tags=51%, list=23%, signal=66%	
GO:0016070	GO:0016070	Details ...	75	0.42489392	1.8117809	0.0	0.03725939	0.266	632	tags=45%, list=28%, signal=61%	
GO:0016043	GO:0016043	Details ...	53	0.4379244	1.7472216	0.003076923	0.06258459	0.437	384	tags=32%, list=17%, signal=38%	
GO:0090304	GO:0090304	Details ...	144	0.35604942	1.7284285	0.0	0.06908312	0.492	437	tags=33%, list=20%, signal=38%	
GO:0006220	GO:0006220	Details ...	16	0.5652557	1.7129484	0.014962593	0.071965106	0.528	669	tags=69%, list=30%, signal=98%	
GO:0045229	GO:0045229	Details ...	34	0.4533268	1.6844916	0.0057142857	0.08639847	0.62	381	tags=35%, list=17%, signal=42%	
GO:0071555	GO:0071555	Details ...	34	0.4533268	1.6744844	0.002994012	0.0894171	0.65	381	tags=35%, list=17%, signal=42%	
GO:0015074	GO:0015074	Details ...	15	0.56666124	1.6521735	0.016826924	0.10027828	0.707	437	tags=60%, list=20%, signal=74%	
GO:0071554	GO:0071554	Details ...	47	0.40624294	1.6254418	0.0	0.1182421	0.784	676	tags=49%, list=30%, signal=69%	
GO:0016765	GO:0016765		16	0.53567386	1.601011	0.017456358	0.1362297	0.847	713	tags=63%, list=32%, signal=91%	
GO:0006022	GO:0006022		24	0.46220133	1.5881463	0.043927647	0.14313845	0.874	319	tags=33%, list=14%, signal=39%	
GO:0001510	GO:0001510		18	0.5129166	1.5609854	0.026829269	0.16271344	0.911	667	tags=56%, list=30%, signal=79%	
GO:0030203	GO:0030203		25	0.45273545	1.5568258	0.018087855	0.15957087	0.915	319	tags=32%, list=14%, signal=37%	
GO:0000270	GO:0000270		25	0.45273545	1.5309621	0.039267015	0.18196622	0.949	319	tags=32%, list=14%, signal=37%	
GO:0090407	GO:0090407		45	0.38751844	1.500877	0.0060975607	0.21431653	0.978	515	tags=36%, list=23%, signal=45%	
GO:0006644	GO:0006644		16	0.50821275	1.5003825	0.055427253	0.20670249	0.978	450	tags=56%, list=20%, signal=70%	
GO:0071840	GO:0071840		79	0.34115398	1.4963956	0.011235955	0.20460334	0.979	520	tags=33%, list=23%, signal=41%	
GO:0008654	GO:0008654		16	0.50821275	1.4883822	0.05352798	0.20831642	0.98	450	tags=56%, list=20%, signal=70%	
GO:0022604	GO:0022604		27	0.4279194	1.481327	0.042821158	0.2112572	0.986	444	tags=37%, list=20%, signal=46%	
GO:0140097	GO:0140097		52	0.36704406	1.4777615	0.01734104	0.20928092	0.986	436	tags=37%, list=20%, signal=44%	
GO:0016866	GO:0016866		18	0.48032337	1.4765297	0.043037973	0.2039573	0.986	156	tags=22%, list=7%, signal=24%	
GO:0065008	GO:0065008		36	0.40080115	1.4736067	0.022346368	0.20131549	0.986	444	tags=33%, list=20%, signal=41%	
GO:0008610	GO:0008610		35	0.4085196	1.4698074	0.03287671	0.20010123	0.986	566	tags=46%, list=25%, signal=60%	
GO:0072527	GO:0072527		24	0.43840158	1.4635254	0.060686015	0.20236695	0.986	669	tags=46%, list=30%, signal=65%	
