uniprot_quickGO	Description	HS1	HS2	HS3	A21	A22	B51	B52	C11	C12
Q8CNY5	clpX	31026	30443	40037	55727	50975	39208	128971	34435	71859
Q8CNY6	hemA	35119	31170	31795	24092	24761	25783	60301	33184	27930
Q8CNY8	hemC	11953	10483	14360	9278	7721	7526	31569	7999	10938
Q8CNZ0	hemB	9386	7321	9994	9920	10229	10078	41892	12015	18055
Q8CNZ1	hemL	18630	14744	19111	18238	18103	16973	81141	22045	34048
Q8CNZ4	radC	105	186	125	483	512	223	58	147	85
Q8CNZ7	obgE	15867	15825	16944	18585	19048	14223	30675	10707	12189
Q8CNZ8	F1613_RS09410	5938	6376	6621	5963	6164	5178	9634	3708	5006
Q8CP01	dtd	1638	1597	1984	2400	1907	2123	2501	2423	2910
Q8CP02	F1613_RS09350	2586	2949	3271	4945	3407	3346	2764	3056	2402
Q8CP08	F1613_RS09205	1519	1222	1471	3165	3269	2805	3131	1889	3914
Q8CP09	aroE	3040	2703	3214	6661	6093	6516	11162	3723	10756
Q8CP13	lepA	6237	8159	7799	20245	17729	14713	6610	10522	8148
Q8CP15	hrcA	249695	296810	208923	18104	15034	13339	22314	10992	28191
Q8CP16	grpE	198095	211618	163487	14257	11454	11176	14437	7376	24373
Q8CP17	dnaK	1159913	1254054	974263	73403	66044	66264	90218	33824	109500
Q8CP18	dnaJ	100421	79461	88891	11316	10519	11006	14776	5460	9499
Q8CP21	era	11231	8926	10999	10936	8687	11313	12593	14328	18471
Q8CP22	recO	6739	6024	7569	6368	5094	6501	7344	8373	11421
Q8CP23	dnaG	18113	12058	17605	17075	14052	15403	24271	19093	18382
Q8CP24	rpoD	27414	16125	24385	31824	28753	22871	103183	25103	35380
Q8CP25	F1613_RS09000	3376	1781	3424	12417	10058	7328	31006	5249	13322
Q8CP34	efp	10810	14575	13808	12986	14030	12823	29815	26623	32557
Q8CP35	argC	467	366	356	374	291	464	225	483	492
Q8CP37	nusB	2594	2373	2279	4004	2955	3594	1298	3624	3448
Q8CP38	xseA	7951	9729	10461	15490	11415	13039	2625	13887	6726
Q8CP39	F1613_RS08805	1983	2078	2606	3222	2373	2933	984	3183	2199
Q8CP40	argR	8701	4658	4540	3837	2750	4285	3631	4967	5082
Q8CP47	gndA	28679	28520	27487	33596	33279	34324	33167	38503	48705
Q8CP51	proC	3492	3870	4412	1835	1890	1608	4759	1472	1630
Q8CP59	ebpS	52933	31408	41278	24151	32477	33104	38829	42609	46341
Q8CP62	der	11319	9084	12301	22241	18536	20265	14978	19607	24864
Q8CP63	F1613_RS08600	6055	6613	6821	15722	12425	13350	7521	14327	14140
Q8CP67	aroC	1956	1709	2283	2767	2503	2126	3742	1688	2739
Q8CP68	aroB	2508	2053	3127	3274	2513	2757	3745	2020	3610
Q8CP70	F1613_RS08525	5141	6234	4808	7987	6478	5884	3292	6224	4717
Q8CP71	F1613_RS08515	12523	16225	15647	16920	13630	12276	4005	11198	6001
Q8CP75	recU	7184	12424	10943	15101	18529	9126	7453	13549	8223
Q8CP76	ebh	18321	18024	21065	7013	7261	5812	14202	5081	5175
Q8CP79	F1613_RS08375	12204	12003	11813	7662	8110	8180	9901	12916	18195
Q8CP82	F1613_RS08300	1367	1163	1363	1401	1454	1379	943	1221	1308
Q8CP83	F1613_RS08285	43704	39876	24924	12013	11940	17173	15057	12781	28430
Q8CP85	F1613_RS08260	5138	4529	4645	5641	4077	4138	5589	3774	5414
Q8CP86	brnQ	9524	9977	12839	22066	21048	14820	8310	10686	11333
Q8CP87	F1613_RS08245	9301	7722	7736	3610	3634	5783	6765	10278	8278
Q8CP90	cspA	4760	4083	4595	39940	29002	15874	67992	34214	100936
Q8CP95	dapB	2320	2186	2141	724	1589	8093	976	6258	6161
Q8CP96	dapA	3082	2546	2664	1285	2026	11635	1606	9111	8961
Q8CP98	F1613_RS08150	67	53	73	125	177	491	8522	414	936
Q8CPA1	pstB	295	348	420	163	226	264	978	156	229
Q8CPA8	F1613_RS08090	8581	7229	9787	19510	17561	19294	6433	22426	15755
Q8CPA9	F1613_RS08085	9812	5130	6711	14792	14915	16861	7893	18273	17316
Q8CPB0	trpA	65	65	73	78	79	87	36	70	50
Q8CPB1	trpB	298	269	334	189	176	227	111	173	219
Q8CPB2	trpC	93	81	92	39	19	52	13	32	17
Q8CPB5	F1613_RS08035	493	512	656	248	241	281	139	235	174
Q8CPB7	F1613_RS08025	1920	2374	2424	4487	4633	3280	4147	3785	2861
Q8CPC0	mprF	2933	2798	5025	16194	13480	9671	51353	4413	5923
Q8CPC2	acnA	13194	15705	15795	19726	33917	27175	28355	18058	20926
Q8CPC4	mscL	739	668	679	2363	1863	1229	1143	731	849
Q8CPC5	F1613_RS07945	17581	26912	19017	7964	8016	10759	8194	12093	10836
Q8CPC6	F1613_RS07940	2838	5549	3007	2020	2150	2612	984	3800	1516
Q8CPC7	tkt	60682	70915	61589	49908	46506	48474	72683	63151	84042
Q8CPC9	guaC	4589	7698	7224	9421	5288	5805	21728	3997	6753
Q8CPD0	F1613_RS07880	24187	24066	24153	12050	24010	18659	29541	25318	34076
Q8CPD8	cls	20038	19170	26403	19969	20981	18448	16586	25625	19740
Q8CPE6	F1613_RS07705	65836	48579	84442	66690	91649	125543	94111	196696	199242
Q8CPE9	mutL	14100	9296	17437	15028	12425	14479	15400	11955	19865
Q8CPF0	mutS	10241	6833	13753	16233	13661	16298	17282	12585	17254
Q8CPF4	recA	20555	23177	15584	19100	17023	18637	59033	33786	42400
Q8CPF7	pgsA	5416	6321	7198	12081	9515	7563	4777	7660	6816
Q8CPG2	rbfA	6553	6544	7928	5850	5359	3536	28189	2845	3486
Q8CPG6	F1613_RS07520	26979	25023	36506	25528	17382	22511	37059	18504	23910
Q8CPG7	F1613_RS07500	1637	2102	1919	6470	5996	4010	1581	2595	2026
Q8CPG8	tsf	44461	64127	52051	94827	99911	78645	212326	69803	107369
Q8CPG9	codY	18660	17562	18958	13140	12280	18369	31559	24169	28981
Q8CPH0	hslU	18815	16865	19260	13699	14174	20794	32940	24267	35356
Q8CPH1	hslV	3717	3508	4412	3233	3498	4960	6936	5043	7167
Q8CPH2	trmFO	19407	22028	30763	23515	19669	16934	41599	10505	14747
Q8CPH4	sucD	13154	19103	12170	10884	11397	14287	20155	27024	32504
Q8CPH5	sucC	18096	22464	16104	16649	17222	22409	16192	36110	37986
Q8CPH6	F1613_RS07430	2213	2424	3199	5525	4477	4539	2372	4301	2672
Q8CPH7	rimM	640	946	964	1365	1067	794	379	489	243
Q8CPI1	rnc	1642	1579	2490	2169	2052	1953	2063	1405	1105
Q8CPI2	F1613_RS07360	3932	5137	4903	8115	7177	5800	23396	9376	19257
Q8CPI3	fabG	22583	17595	24354	22595	21992	24000	21556	17352	30677
Q8CPI5	plsX	6285	8073	8181	9838	9941	10959	5215	7943	12246
Q8CPI9	F1613_RS07275	1199	1086	863	1482	1541	1136	508	1217	460
Q8CPJ3	pyrF	4828	6484	6153	12944	14468	7905	2881	6846	8803
Q8CPJ4	carB	15363	22634	20559	49048	72147	34748	8436	31756	26937
Q8CPJ5	F1613_RS07215	9484	13264	10291	23863	43747	18060	17969	19864	18770
Q8CPJ6	F1613_RS07210	13180	14819	13435	23300	49117	19412	38719	22667	31337
Q8CPJ7	F1613_RS07205	2242	3301	3118	10294	27203	8517	9155	9158	12203
Q8CPJ9	pyrR	598	1759	869	3766	8210	3846	538	4393	1895
Q8CPK0	lspA	11393	13457	9348	33310	34218	20400	31147	26932	21511
Q8CPK4	ftsZ	91731	76961	97150	93266	82619	79595	115978	99852	136817
Q8CPK5	ftsA	46162	47807	49540	68780	59566	53685	26519	60625	39031
Q8CPK7	mraY	8646	6600	11021	11358	8814	7912	9243	5153	9494
Q8CPL0	racE	3671	2765	2320	3284	3569	2996	3138	3031	3176
Q8CPL4	uvrC	18197	21769	20018	6768	6317	5177	12373	6916	6385
Q8CPL5	trxA	33392	35099	27193	13300	14444	9813	22287	13819	20413
Q8CPL6	F1613_RS07010	13689	13235	16090	12202	10777	10094	25604	8673	13612
Q8CPL8	rnhC	1631	2770	1381	1690	1429	1752	481	2833	901
Q8CPM1	cyoE	11057	12313	11962	6004	8466	7815	21566	11080	14015
Q8CPM2	F1613_RS06895	7382	5120	6056	4691	5605	7692	8180	9597	9518
Q8CPM6	F1613_RS06840	8139	5628	7226	4599	6011	4365	12431	9590	3678
Q8CPN0	F1613_RS06810	1852	2886	3449	1699	1087	1363	1464	936	863
Q8CPN2	F1613_RS06785	59977	48276	46082	54879	54460	69382	64523	95804	191871
Q8CPN3	pdhA	92329	71920	75579	103652	98863	122495	74835	146219	244879
Q8CPN4	def	11086	16088	9613	4716	5450	6064	14564	13343	10899
Q8CPN9	purL	6089	3190	10386	10445	3638	4744	3447	5984	4376
Q8CPP0	purQ	1292	724	1957	2924	636	1311	1196	1567	1656
Q8CPP1	F1613_RS06645	1861	1042	2382	4267	835	1826	1181	2089	944
Q8CPP2	purK	2776	1614	3439	6613	1417	2901	2541	3974	2487
Q8CPP4	folD	6616	4673	6044	7433	3689	6124	6444	11567	7604
Q8CPP6	qoxA	65286	41035	60168	70202	80736	97031	121541	170098	115462
Q8CPP7	qoxB	146479	87730	135208	132317	154132	185953	289823	314046	362925
Q8CPP8	qoxC	42908	25594	37745	31855	36567	44140	76387	79577	95511
Q8CPP9	qoxD	17204	11283	16343	13730	15857	19944	40646	40381	45110
Q8CPQ1	F1613_RS06575	26135	10082	65524	117975	135848	63268	135680	32472	71462
Q8CPQ4	menB	26789	26285	24334	26819	27341	23907	39184	33123	31401
Q8CPQ5	menD	18729	18848	17188	14661	13699	12491	23516	13438	18839
Q8CPR1	F1613_RS06425	10778	9004	14326	22656	20565	21249	37863	22281	30362
Q8CPR2	F1613_RS06415	3507	2754	3469	7239	6278	7016	2979	6670	4692
Q8CPR3	F1613_RS06410	4187	4570	4661	5514	4585	5723	1573	8807	4151
Q8CPR4	F1613_RS06405	6496	7685	10016	8200	7313	7772	2756	11250	5534
Q8CPS8	mecA	55365	47645	35207	8873	10973	9096	46765	9419	15453
Q8CPT4	F1613_RS06195	9514	7754	8172	13720	11566	16493	3776	13494	23231
Q8CPT5	clpB	907196	1024156	741242	11412	11081	10806	38291	24035	167010
Q8CPT6	F1613_RS06160	13535	14114	11576	7272	5449	8177	3862	9882	10517
Q8CPT8	F1613_RS06140	33549	27420	23645	19921	16450	22432	13486	38162	34104
Q8CPT9	addA	23038	12924	23261	23163	20610	19247	24613	19553	22071
Q8CPU0	addB	6027	4910	7559	12102	10502	9184	3409	11632	6066
Q8CPU3	F1613_RS06105	8398	3141	1996	1726	1576	3320	2069	2026	5764
Q8CPU8	F1613_RS06055	17050	22809	18806	16874	17824	18457	11369	27158	16114
Q8CPU9	mnhB1	5582	5326	4922	3553	3762	3900	4048	4947	3681
Q8CPV0	mnhC1	4451	4475	3496	3024	3037	3036	3541	3726	3224
Q8CPV1	mnhD1	22379	23276	19937	14142	15738	15366	21692	20190	18235
Q8CPV2	F1613_RS06035	10927	9365	9494	6613	6876	6771	9035	7641	7330
Q8CPV3	mnhF1	5243	4012	4486	2546	2844	2978	4560	3406	3535
Q8CPV4	mnhG1	7995	6882	6252	4611	4926	4458	8057	5272	6745
Q8CPV5	F1613_RS06000	23308	24566	26941	39015	23440	24844	22416	21157	31968
Q8CPW0	dltC	595	379	971	11256	6276	5555	63845	1305	4461
Q8CPW3	F1613_RS05930	4832	3327	4611	6814	6498	6303	10659	9010	11065
Q8CPW4	lipA	13857	11799	11844	21406	20085	22695	15340	32373	25400
Q8CPW8	gcvH	3765	4115	3715	8360	8546	6901	6405	10274	13893
Q8CPX1	aroD	954	939	1215	868	855	895	1302	1038	1269
Q8CPX9	smpB	5101	3475	6288	6889	9184	4414	93378	3096	6601
Q8CPY2	secG	1893	1272	1479	2701	3629	1839	6623	2094	2482
Q8CPY3	eno	328326	234274	199141	78733	105261	147317	97796	321551	232069
Q8CPY4	gpmI	352111	221952	185003	52775	89251	121227	70066	257627	165512
Q8CPY5	gap	312728	241329	189017	90992	138423	218061	266573	518898	333954
Q8CPY7	F1613_RS05565	21537	23202	13112	3166	4721	4842	4727	11026	9238
Q8CPY8	trxB	14803	13819	13294	4808	4418	4605	8601	4328	7319
Q8CPY9	uvrA	34986	35345	26123	12084	13786	16030	34328	21756	27922
Q8CPZ0	uvrB	15640	15939	10014	5962	5570	8167	8524	12505	8129
Q8CPZ1	prfB	10637	9891	8467	5731	5805	5669	6223	7856	5429
Q8CPZ2	secA	41529	50356	33675	16262	19314	22046	27453	34155	28782
Q8CPZ6	pepT	9915	10361	11163	8857	9335	8599	11001	10375	12347
Q8CPZ7	murB	3597	4225	3495	7070	7206	7605	3335	10653	8487
Q8CQ03	nrdI	5381	3850	4650	2897	2278	3308	9111	6563	5762
Q8CQ05	F1613_RS05325	6432	5526	4077	2415	1528	2603	1308	3396	2310
Q8CQ10	ltaS	62152	66730	67937	40067	37228	39834	61793	43488	46524
Q8CQ17	saeR	92774	31486	49029	7535	11541	10388	1593	2293	2449
Q8CQ25	mdh	1150	1266	856	1626	1973	2029	2976	3619	3499
Q8CQ32	scdA	5942	3890	5966	1856	2439	9362	4913	13972	20817
Q8CQ37	graR	2243	2696	2206	2488	2488	2386	968	3119	2145
Q8CQ45	mnhF2	2832	3241	2192	768	1382	662	1103	783	582
Q8CQ46	mnhE2	2459	3378	2089	699	1348	692	1818	955	924
Q8CQ47	mnhD2	16612	19447	12949	4284	8373	4183	8206	4248	4201
Q8CQ48	mnhC2	2055	2557	1519	519	1154	556	1034	612	554
Q8CQ49	mnhB2	4146	4775	3248	994	2093	1017	1495	947	843
Q8CQ50	F1613_RS12420	9218	17766	10653	2425	1708	4613	23971	2369	5114
Q8CQ56	adhP	12725	5748	6428	1670	3129	8199	13865	28207	14856
Q8CQ62	pta	15319	13649	12118	10850	12512	17593	13666	25487	30320
Q8CQ65	F1613_RS04550	4340	4546	4879	6531	7568	5622	15615	6623	10099
Q8CQ67	F1613_RS04515	480	265	302	1091	1642	898	445	1026	523
Q8CQ69	hxlA	31597	11430	12804	16538	58695	22392	29025	39526	52773
Q8CQ77	F1613_RS04390	128	85	115	243	155	162	127	195	121
Q8CQ78	F1613_RS04385	5010	3366	4203	6257	6031	10272	6865	17092	18017
Q8CQ79	F1613_RS04380	126	111	171	233	188	235	134	209	152
Q8CQ81	tuf	534629	459435	443533	637313	654970	612008	1452496	524585	1357193
Q8CQ82	fusA	380985	439380	354684	594867	626097	528876	1552452	389603	947766
Q8CQ83	rpoC	399113	334296	413641	276571	181591	223208	1119615	163980	366080
Q8CQ84	rpoB	206351	200168	234747	204066	129964	156706	561120	134046	239415
Q8CQ85	nusG	7737	6589	6499	17060	16740	14952	10424	22464	17596
Q8CQ86	secE	2582	1736	1889	4122	4070	3450	2658	4373	3150
Q8CQ88	F1613_RS04230	1389381	1535588	1055753	21741	24359	24786	63318	27770	120098
Q8CQ89	F1613_RS04215	124519	150582	100582	2851	2777	3348	5404	5019	19422
Q8CQ91	hisIE	210	382	261	166	172	219	81	294	145
Q8CQ92	hisF	252	385	310	139	160	249	139	205	148
Q8CQ93	hisA	128	227	137	63	69	104	68	113	83
Q8CQ94	hisB	107	169	158	68	70	141	136	188	150
Q8CQ95	hisD	230	296	246	180	182	356	263	412	310
Q8CQ96	lqo	100942	67326	85372	186677	206647	150769	198199	113429	156571
Q8CQ97	F1613_RS04105	2611	4801	3026	2198	1898	2460	1714	3094	2894
Q8CQB3	bioB	194	218	313	523	500	606	81	496	192
Q8CQB9	F1613_RS03890	122	231	95	83	90	96	144	68	88
Q8CQC2	F1613_RS03870	5556	15332	5619	209	242	397	834	317	6325
Q8CQD2	F1613_RS03785	14295	7868	10522	562	936	2913	8841	6869	6301
Q8CQD8	bioD	39	44	36	45	24	51	20	38	27
Q8CQD9	aap	162661	101852	160731	74741	69369	70380	158224	56657	85314
Q8CQE3	F1613_RS03620	455	664	667	524	371	508	144	595	339
Q8CQE8	lqo	100942	67326	85372	186677	206647	150769	198199	113429	156571
Q8CQF4	arsB	2579	3624	3201	1049	1185	1831	949	1620	1776
Q8CQF5	arsC	1242	1698	1449	563	636	825	868	733	1224
Q8CQF6	F1613_RS03450	2108	2118	2024	980	1058	1228	1451	831	1976
Q8CQF7	F1613_RS03445	1897	2535	1950	871	931	1165	811	890	1188
Q8CQG5	arcA	11813	5921	9845	5419	14416	14188	36026	10231	15930
Q8CQI9	F1613_RS03110	351	250	413	307	311	288	617	92	140
Q8CQJ0	F1613_RS03105	587	509	717	447	416	393	1652	128	415
Q8CQJ6	F1613_RS03010	679	559	692	184	214	241	729	173	270
Q8CQJ7	F1613_RS03005	3185	4593	3072	632	814	726	3111	588	948
Q8CQK0	yycF	8262	8073	5347	5456	5155	6248	4584	8023	6685
Q8CQK1	F1613_RS02895	1963	3729	2872	4246	5330	5863	6360	8435	9368
Q8CQK4	gyrB	29419	38067	26826	38474	32298	35674	24029	41990	47067
Q8CQK5	recF	15807	15745	11696	17411	15756	16850	15018	18602	12425
Q8CQK6	dnaN	35487	37670	31439	28034	25852	30286	54351	45764	60211
Q8CQK7	dnaA	22051	19139	18420	29552	26302	31252	28373	50009	34861
Q8CQL3	miaA	7023	5944	7902	5204	5455	6951	5660	7194	7262
Q8CQL4	trmD	3031	3602	5791	4810	3937	3082	2840	1725	1906
Q8CQN7	F1613_RS02630	4146	5446	4970	14839	16458	17240	4210	20911	9979
Q8CQP4	rpsF	4054	2161	3675	23584	36114	21805	35424	14829	29340
Q8CQP6	rpsR	514	566	779	4210	6051	3403	11991	3112	10188
Q8CQQ7	F1613_RS02480	4592	4026	3443	10414	11292	9181	2498	6575	8600
Q8CQQ9	F1613_RS02470	20640	22529	17156	6951	14632	11089	28833	12840	16792
Q8CQR0	xpt	8177	9563	13335	5608	4170	4564	3297	2606	3412
Q8CQS1	F1613_RS02370	4395	5879	1433	5116	10659	5943	18007	34854	1726
