uniprot_quickGO	Description	HS1	HS2	HS3	A21	A22	B51	B52	C11	C12
Q8CR97	F1613_RS00495	7554	5978	18355	2676	5814	18920	37492	43873	42085
Q8CRA8	F1613_RS00355	2855	2725	3492	1327	1286	1270	1241	1480	771
Q8CRA9	F1613_RS00345	634	918	770	506	457	285	1059	513	342
Q8CRB0	F1613_RS00340	819	1301	890	608	535	410	1092	553	370
Q8CRB6	fni	1026	892	1170	1826	1870	1640	3745	1306	1794
Q8CRC1	F1613_RS00245	928	915	1274	1740	2015	1243	2650	1027	1456
Q8CRC6	F1613_RS00220	1666	1378	1424	2122	2226	1919	1302	2679	1591
Q8CRC8	F1613_RS00205	395	575	504	1605	1268	998	539	796	427
Q8CRD1	F1613_RS00190	6184	3889	9479	16354	16389	11228	5609	9944	9048
Q8CRD9	murQ	23077	14352	20230	13966	21505	25781	14148	18393	20267
Q8CRF7	F1613_RS12130	9781	7593	8121	12261	10893	11021	17188	9311	12845
Q8CRG0	rplC	68245	71630	64973	152846	177972	123013	452534	78067	206312
Q8CRG1	rplD	78860	81347	76996	151017	180897	124412	437884	67853	195903
Q8CRG2	rplW	63421	55642	56104	98776	123201	81584	252826	37571	111759
Q8CRG3	rplB	153284	149077	137722	235851	313903	201641	727720	107743	323416
Q8CRG4	rpsS	67853	51956	56861	95147	146631	78414	312658	36020	130632
Q8CRG5	rplV	80849	57582	64365	102646	161515	86882	303142	36493	130937
Q8CRG6	rpsC	104422	79389	82896	133659	214736	118379	464270	53155	207662
Q8CRG7	rplP	67634	52277	54814	84926	141741	79972	327838	34590	143891
Q8CRG8	rpsQ	72785	49774	53065	86024	141339	74504	292855	28603	122976
Q8CRG9	rplN	74817	53121	60086	92307	150120	83800	361395	31547	140741
Q8CRH1	rplX	97277	60966	68953	116004	183891	97804	356462	32331	134476
Q8CRH2	rplE	84777	69964	71129	120573	189226	111670	513053	42641	201082
Q8CRH3	F1613_RS12045	50238	34381	40053	67742	100641	54767	234956	17201	86571
Q8CRH4	rpsH	82060	57015	61973	111863	163845	94275	411840	30857	147586
Q8CRH5	rplF	53707	44964	44874	82871	124145	72101	356424	27808	138212
Q8CRH6	rplR	72398	53739	58442	107746	155603	87319	351849	28741	133016
Q8CRH7	rpsE	66859	54968	50764	102724	147662	81686	419962	34785	142560
Q8CRH8	rpmD	43102	34036	36022	71633	96629	54991	184035	18075	57784
Q8CRH9	rplO	43122	40591	37029	69190	98006	62711	175407	29417	54183
Q8CRI0	F1613_RS12005	100874	89246	87886	160474	232943	140161	257006	55136	56845
Q8CRI1	infA	33953	27189	29359	48762	71763	41680	101974	16189	30150
Q8CRI2	rpmJ	19895	16185	16492	30822	41273	21807	52508	9056	23676
Q8CRI3	rpsM	70263	58162	57858	105715	144810	89414	243407	35878	122856
Q8CRI4	F1613_RS11980	118075	113037	98637	197927	272521	169033	360265	73219	176094
Q8CRI5	rplQ	51786	55613	46960	91760	129293	82420	116833	32616	45437
Q8CRI6	F1613_RS11970	1161	1142	1421	4482	5118	2439	968	997	792
Q8CRI7	F1613_RS11965	1520	1474	2018	4825	5066	2811	918	1409	1429
Q8CRI9	rplM	27000	31919	36110	89648	95184	55836	154654	46103	70437
Q8CRJ0	rpsI	24136	28074	35001	71864	78061	49763	245801	40119	91199
Q8CRJ1	F1613_RS11935	2735	2805	4332	2565	2624	2101	5384	1401	2250
Q8CRJ2	lacA	23390	12565	9682	717	464	697	1100	856	1262
Q8CRJ3	lacB	26927	15779	11447	563	365	760	1007	878	1738
Q8CRJ4	F1613_RS11920	48806	30939	20072	848	548	1321	1439	1430	3057
Q8CRJ7	F1613_RS11880	7112	6247	6895	4276	9109	6467	11092	11451	11072
Q8CRK4	F1613_RS11820	181	218	155	220	239	219	159	261	269
Q8CRK5	F1613_RS11815	2157	1625	545	244	243	231	471	253	536
Q8CRK7	F1613_RS11790	1357	1511	1214	777	1033	999	2091	1470	492
Q8CRL1	glmS	14499	12635	18680	16002	16951	16484	25467	39224	27151
Q8CRM3	coaW	1562	1250	1698	4459	4801	5454	3634	7244	5763
Q8CRM5	rpoE	6661	4997	5804	24843	23154	14530	26074	12383	18774
Q8CRM7	F1613_RS11570	15623	13870	15209	21201	26613	19033	7495	21095	9293
Q8CRM8	F1613_RS11550	37153	48208	42093	65311	72857	49313	100977	40876	78055
Q8CRM9	F1613_RS11545	2989	3137	3493	5245	5878	4295	3493	3711	3016
Q8CRN2	F1613_RS11515	13958	14773	11693	11894	13161	11320	15871	18250	16461
Q8CRN3	F1613_RS11510	34734	36232	28092	28039	30881	26401	48474	43208	51247
Q8CRN4	upp	20363	20506	16134	16412	17691	16538	31347	24662	33057
Q8CRN6	murA	11562	8551	10684	12469	13472	10282	17737	9136	10830
Q8CRN9	thiM	1035	1318	1329	616	599	588	362	1016	498
Q8CRP5	F1613_RS11365	9459	7421	11264	19590	17017	20792	26962	25954	30708
Q8CRP6	F1613_RS11355	17722	11436	11018	95590	109446	47795	176533	26573	51282
Q8CRQ0	mazE	2152	1607	1951	3755	3133	2854	1735	2263	1149
Q8CRQ1	F1613_RS11320	2653	3140	2854	4268	4136	3989	3709	5026	2745
Q8CRQ3	F1613_RS11290	1624	1262	2183	2995	3226	2204	4276	1793	3707
Q8CRQ6	ilvC	1440	1133	1321	82	95	274	195	317	367
Q8CRQ8	F1613_RS11175	2955	4373	3625	4409	4261	4133	1603	4027	1323
Q8CRT1	F1613_RS10960	5725	6504	5956	4437	4163	5179	4504	7053	7187
Q8CRT4	F1613_RS10915	6947	6536	7312	5893	4919	6847	5611	5909	10402
Q8CRT6	purB	4178	3859	5155	17376	8120	9422	5809	8326	10553
Q8CRT8	F1613_RS10895	3319	2391	2888	2818	2378	2779	2589	2998	2250
Q8CRT9	pcrA	9657	7752	11092	10531	8685	10754	12100	10522	16343
Q8CRU0	ligA	13501	10173	15513	13314	11143	13000	14553	11132	17388
Q8CRU2	gatC	2802	2589	3608	6682	5357	5365	4517	5599	7934
Q8CRU3	gatA	16403	14703	24496	35261	30258	31651	31509	28880	46206
Q8CRU4	gatB	34509	26800	44880	51329	45702	47359	67888	41608	77410
Q8CRU5	F1613_RS10855	5178	4669	4858	10624	10592	8148	6727	7473	9121
Q8CRU6	rlmD	2567	2569	2859	5541	4560	3564	4304	2504	3424
Q8CRU8	F1613_RS10810	295	633	313	1194	1167	916	301	750	482
Q8CRU9	map	7807	6730	6126	13434	11434	16038	28876	21095	26188
Q8CRV2	F1613_RS10790	9826	17006	13968	3450	3000	3420	4233	3546	3269
Q8CRV4	F1613_RS10765	541	686	594	842	581	568	466	543	814
Q8CRV8	F1613_RS10740	21869	10951	13267	12001	37281	13395	41219	18334	27737
Q8CRV9	recX	2475	1244	1090	1209	1002	1677	1095	2077	1744
Q8CRW4	F1613_RS10700	3062	3383	2878	4963	5091	4056	3475	5563	2170
Q8CRW7	F1613_RS10685	8207	8791	8606	11421	11107	10029	17500	13371	16529
Q8CRX9	F1613_RS10435	429	348	696	4300	3066	2047	2324	823	1757
Q8CRY0	F1613_RS10430	20463	19830	20611	59801	54183	30517	32937	38153	57326
Q8CS21	menE	4022	5228	4039	2044	1796	1951	1922	1879	1476
Q8CS22	yidD	1438	1150	771	334	333	355	600	513	348
Q8CS25	pckA	2496	1752	1156	1170	1265	1133	1527	1247	993
Q8CS28	F1613_RS10025	994	1346	1435	1172	963	886	561	890	310
Q8CS29	crcB	953	1075	1269	1180	871	692	253	675	229
Q8CS41	dat	10778	8872	9267	7257	6045	9746	7214	11308	14410
Q8CS43	trmB	2730	4991	3576	6795	4175	3621	1474	3115	1391
Q8CS46	F1613_RS09850	7820	7232	8371	9128	9804	8236	7754	9144	9852
Q8CS47	murC	24009	19117	29072	36137	31178	28921	44105	28326	35123
Q8CS48	tyrS	6026	8726	10747	8007	4948	6755	6555	4325	6523
Q8CS54	rpsD	24218	30337	37960	81888	129796	72435	342473	58873	124239
Q8CS58	tpx	17470	14962	11850	7554	7147	8668	13496	11678	14806
Q8CS60	F1613_RS09710	31389	46130	41381	20953	25576	45257	12259	64772	50415
Q8CS61	F1613_RS09700	22137	27193	20384	5318	7903	17070	31297	40314	48615
Q8CS62	F1613_RS09685	14910	11087	11624	5483	12120	5747	24722	8830	10167
Q8CS66	accD	3338	3990	4933	5809	4552	4105	2668	3891	3300
Q8CS67	F1613_RS09650	5845	5952	9464	9468	7600	6787	9483	6351	8268
Q8CS68	pfkA	22754	24054	29841	15306	13051	25140	31087	39812	36457
Q8CS69	pyk	78984	63403	102363	37179	30462	64606	105779	109967	127002
Q8CS70	coaE	4156	3823	3511	5458	4875	4669	3586	5518	4201
Q8CS73	nrdR	3016	2770	2344	2657	2779	2244	2246	2568	2995
Q8CS74	thrS	15878	7343	11783	47684	42104	40205	164906	33985	77217
Q8CS75	infC	17595	17396	17669	79020	107594	62105	129985	43629	58793
Q8CS76	rpmI	8554	7521	9251	38676	53509	30495	76597	18037	39036
Q8CS77	rplT	5169	6562	6246	27494	37485	22407	101523	18810	46049
Q8CS80	yihA	1671	850	1241	2896	2644	2424	4612	2549	2837
Q8CS83	F1613_RS09475	22417	8489	17495	44529	38525	39724	79799	22707	54275
Q8CS87	rplU	15172	27743	15735	48201	50418	39125	104662	31583	61377
Q8CS89	rpmA	13699	27530	16229	29337	30801	24138	88707	23197	55865
Q8CS90	ruvA	9443	9624	10429	9806	9662	8212	13749	5660	8422
Q8CS91	ruvB	18287	18253	20835	19583	19096	16294	21063	11281	14327
Q8CS92	queA	11719	15252	14093	16516	16263	12883	8988	10193	8278
Q8CS95	F1613_RS09370	2918	3274	3517	4956	4450	5270	7210	5968	8907
Q8CS97	F1613_RS09360	9470	7118	9475	12637	9526	10914	8391	11069	11079
Q8CS98	hisS	4917	2456	4092	13802	8120	7480	24722	3430	8390
Q8CS99	aspS	11993	5717	10931	32635	21709	19243	105901	8937	24284
Q8CSA5	mnmA	18245	19898	19343	6124	5528	5031	15942	4524	6704
Q8CSA7	alaS	21673	16081	25182	27133	18348	21610	33383	14179	29739
Q8CSA8	F1613_RS09280	3919	2638	3853	5563	4903	4345	7844	5603	9823
Q8CSA9	ruvX	13260	6823	11629	16104	14260	10945	16439	11069	18647
Q8CSB0	F1613_RS09270	8501	5893	8687	12866	11339	8878	17582	10901	19039
Q8CSB2	udk	11165	9331	13860	15124	13843	11975	34708	6966	13516
Q8CSB3	greA	11910	9782	14626	17521	16898	14154	66580	9538	22094
Q8CSB6	pxpA	3713	3225	3857	2058	3021	2878	1290	3658	2967
Q8CSC1	F1613_RS09180	2756	2235	2677	4926	4675	4597	7427	2869	7297
Q8CSC6	rpsT	12659	16220	12699	19447	15804	12136	53400	10119	38449
Q8CSC7	prmA	80145	66959	71314	9056	8707	9883	15846	5916	10755
Q8CSD1	floA	12096	15760	15773	21155	22284	16835	10977	17147	21321
Q8CSD3	ybeY	5851	3999	4874	6046	4712	6407	5783	7920	9209
Q8CSD5	F1613_RS09040	7731	4690	9389	41324	34479	25737	92344	26883	34727
Q8CSD7	F1613_RS09030	3153	1936	3320	9343	7747	9247	6173	12268	13272
Q8CSD9	F1613_RS09010	2539	1216	2125	9054	6711	5420	7759	3777	9516
Q8CSE3	rpmG	5200	4754	4826	8432	8392	6485	18121	9183	12827
Q8CSF2	F1613_RS08900	3388	2576	3793	8710	9034	6714	8272	7461	6211
Q8CSF4	gcvT	4836	2826	4910	10857	10646	7865	3265	7007	7919
Q8CSF9	argJ	677	419	557	267	184	446	458	485	1121
Q8CSG0	argB	632	422	488	259	238	438	789	481	798
Q8CSG1	F1613_RS08835	1016	842	960	585	457	727	1183	941	1357
Q8CSG4	F1613_RS08765	2030	2204	2710	2711	1769	2081	2901	1661	2360
Q8CSG7	rnz	1280	2431	1877	2631	2987	2216	1193	2869	1102
Q8CSH0	F1613_RS08680	2028	1905	1789	3786	3983	3435	1471	3326	1521
Q8CSH5	cmk	2014	2592	2183	3012	2481	2288	2132	2048	2269
Q8CSH9	F1613_RS08585	7708	6997	6953	7399	8069	8336	8677	8051	12284
Q8CSI0	ndk	2703	3576	2950	2955	3202	5298	1593	5021	3781
Q8CSI1	aroA	9176	6900	9974	8026	6572	6667	7738	4937	7830
Q8CSI3	F1613_RS08550	1977	2250	2344	2247	2066	2059	777	1708	816
Q8CSI9	asnS	20940	17997	20612	27131	20770	25395	23029	22041	38955
Q8CSJ2	F1613_RS08475	4641	3390	4799	2722	3823	3370	4099	4523	3897
Q8CSJ3	gpsB	8799	8786	8095	7446	8624	7048	8745	13183	11087
Q8CSK2	F1613_RS08415	5352	5208	4658	2870	3347	3191	4856	4355	6374
Q8CSK6	msrB	10083	10026	9574	5294	5667	5884	6471	8103	12405
Q8CSK7	F1613_RS08370	2419	3104	2328	2166	2215	2091	3009	3671	5804
Q8CSK8	F1613_RS08365	7112	8462	10177	7791	8552	6453	5857	5869	6776
Q8CSL5	F1613_RS08310	364	382	558	270	252	252	294	243	217
Q8CSL7	F1613_RS08295	3851	3711	4754	4519	4517	4643	2845	4374	4657
Q8CSL9	sucB	20895	21312	11374	6105	6168	9135	9160	7390	17695
Q8CSM6	F1613_RS08190	1970	2516	2611	514	812	3914	336	3813	1180
Q8CSM7	dapD	2142	2097	2040	587	1351	6401	991	5979	4950
Q8CSN0	cvfB	4531	2864	3197	9748	10267	8902	11233	8896	10940
Q8CSN5	F1613_RS08060	121	104	134	48	40	79	8	31	44
Q8CSN6	trpD	205	169	186	45	35	100	50	48	55
Q8CSN8	parC	16458	11405	22089	36964	29756	31153	37662	19401	29824
Q8CSN9	F1613_RS03175	34446	121981	37357	8381	8863	8511	23267	17660	14673
Q8CSN9	parE	6987	5822	10749	19964	17841	16501	16715	11520	18723
Q8CSP0	F1613_RS07970	107	74	55	489	331	281	137	244	190
Q8CSP3	F1613_RS07930	1793	1988	1997	4807	3561	3339	5095	2348	5910
Q8CSP4	F1613_RS07920	5580	4768	3266	1027	826	1463	829	2160	1793
Q8CSP8	rpsN	156	164	197	219	169	184	3249	120	254
Q8CSP9	rpmG	5200	4754	4826	8432	8392	6485	18121	9183	12827
Q8CSQ2	thrB	1124	1458	1388	416	370	980	1074	1589	1276
Q8CSR8	glnA	30687	20876	34524	64170	73172	69171	130883	111105	216888
Q8CSR9	F1613_RS07725	4711	5921	4935	2356	1842	3360	2551	7512	4937
Q8CSS0	glpK	13935	13079	8076	37636	31426	21485	6936	17919	14998
Q8CSS3	miaB	6288	5123	8356	10036	9162	8541	12103	5760	8346
Q8CSS7	rny	31793	36461	32987	49223	49242	36208	127380	49947	43778
Q8CST0	F1613_RS07575	39465	33813	35393	38687	39498	33472	81407	39076	43833
Q8CST1	pnp	24620	16602	24321	68431	66424	57655	179110	66473	84679
Q8CST2	rpsO	7809	9911	7589	40652	47892	26262	114747	32318	46675
Q8CST4	infB	30193	20027	30459	36101	35630	23732	158189	15444	31092
Q8CST6	rimP	5866	3027	4979	9077	8689	5095	18192	3837	4344
Q8CST7	F1613_RS07515	26437	27563	30683	23465	16911	18171	37929	11587	24033
Q8CST9	F1613_RS07505	1905	3057	2427	5331	4805	3662	1616	2907	3494
Q8CSU0	frr	15274	17906	21028	27581	30434	23576	39004	25690	32558
Q8CSU1	pyrH	11395	16700	17302	28080	30193	22665	16945	24718	21039
Q8CSU2	rpsB	72887	91686	72838	157391	169828	131195	443437	115907	214859
Q8CSU3	topA	21036	24199	31756	26647	22529	16843	35651	10180	15333
Q8CSU9	rplS	19789	28303	26891	43823	45708	37642	129176	25655	40601
Q8CSV0	rpsP	17633	22261	23679	25884	21472	12446	41348	11383	19384
Q8CSV1	F1613_RS07380	4470	2814	4750	3751	2684	3153	6304	1765	3035
Q8CSV2	fapR	1747	3457	2190	2932	3602	2708	686	2352	963
Q8CSV3	recG	8293	6644	5781	6556	5916	7427	4852	9343	7579
Q8CSV4	fakA	17136	17419	22898	45728	48492	32704	34159	25639	23053
Q8CSV6	rpmB	8719	10879	10580	18248	20907	12993	29820	5690	10919
Q8CSV8	rsgA	1861	1282	1306	5770	4654	3824	2911	3433	3383
Q8CSW0	rlmN	6510	4709	7519	11303	9025	9582	19757	7420	13322
Q8CSW1	fmt	3639	2819	3574	6057	5290	4703	7268	4527	5945
Q8CSW3	rpoZ	1199	930	1128	2015	1316	1504	4147	2042	3008
Q8CSW7	pyrE	3468	5191	4870	10183	9907	5955	2304	5545	6079
Q8CSX1	ileS	16841	11588	15298	60685	46873	66504	76074	45326	91809
Q8CSX5	pgeF	3563	3309	3824	3893	3748	3429	2728	3926	3139
Q8CSX6	murD	19463	14479	24796	22882	16602	16389	19801	10236	18682
Q8CSX7	rsmH	15475	12060	13985	18886	20942	15283	8366	19495	7956
Q8CSX8	mraZ	6677	5208	5470	8484	8786	6929	4296	8906	2783
Q8CSX9	bshC	21018	27249	15289	5387	4930	5197	5118	5002	4853
Q8CSY0	F1613_RS07085	685	955	567	488	701	558	1113	1170	749
Q8CSY5	F1613_RS07045	3216	2576	2309	4560	4436	3888	2572	3709	4433
Q8CSY8	pheT	17800	18481	17753	37607	28790	33003	34751	19947	46615
Q8CSY9	pheS	5016	3907	4775	15767	11595	13682	11326	7890	16709
Q8CSZ2	rpmF	3094	5046	4476	6673	6594	3367	9278	2885	5855
Q8CSZ4	F1613_RS06950	1631	2083	1855	1694	2007	1894	1004	2676	1671
Q8CSZ5	coaD	853	1589	1164	2230	2310	1784	321	1338	531
Q8CSZ8	F1613_RS06930	697	667	470	663	734	544	164	654	230
Q8CT04	F1613_RS06880	14171	11035	11558	30536	37057	26365	47198	30925	30298
Q8CT08	F1613_RS06845	5168	4595	5169	3146	3214	3754	4428	6683	5764
Q8CT12	F1613_RS06800	205	182	184	533	477	392	715	722	506
Q8CT13	F1613_RS06790	129883	81693	87419	103236	105111	133268	108546	166934	287488
Q8CT15	F1613_RS06765	4697	4358	3970	5087	5479	4019	3389	4941	2018
Q8CT16	F1613_RS06760	44491	42269	44414	45408	50764	37057	71732	37843	32302
Q8CT19	ptsP	173959	165742	155060	109924	125380	131509	116921	217691	124941
Q8CT26	purD	9501	5146	11886	5060	12456	5718	6077	6483	5965
Q8CT27	purH	9067	3720	11940	4730	6830	5179	3950	4743	7505
Q8CT28	purN	2570	1129	3840	1853	1859	1604	1272	1501	2287
Q8CT29	purM	3493	1521	5520	2897	2276	2155	1816	2194	2906
Q8CT30	purF	4315	2137	7433	5275	2615	3035	2294	3553	3055
Q8CT52	F1613_RS06435	3664	3250	4300	5824	4953	4697	4421	3377	3811
Q8CT54	F1613_RS06400	7544	9981	4934	7264	8335	8185	4423	21105	7103
Q8CT62	F1613_RS06290	3117	2977	3144	4341	4679	4670	5121	8334	9446
Q8CT64	F1613_RS06280	1806	1264	1222	2416	2715	2358	858	3947	2074
Q8CT67	yjbH	16297	15600	13579	4248	4164	6367	4478	11639	8418
Q8CT68	spxA	42286	38046	32120	38286	46566	34922	120237	84110	68738
Q8CT69	trpS	4087	2563	3057	7174	5260	6164	5902	8081	10697
Q8CT77	F1613_RS06145	5227	5522	4629	11336	11804	7628	5169	10537	4848
Q8CT80	F1613_RS06110	53296	44281	42296	20776	16904	33685	20349	51967	63364
Q8CT81	argH	6035	3324	1781	1000	853	2155	3371	2370	6565
Q8CT82	F1613_RS06085	8191	9445	7055	4251	3695	3729	2673	3652	6029
Q8CT84	F1613_RS06065	4866	4842	3671	9431	7780	8205	6817	11152	15865
Q8CT91	F1613_RS05990	1356	814	890	906	506	538	349	404	862
Q8CT93	dltA	2084	1891	3484	52051	31268	22956	274069	6508	25213
Q8CTA3	sufB	59478	65306	54117	48213	35027	40884	86636	43758	50240
Q8CTA4	F1613_RS05865	38218	44962	36630	36085	25330	31720	45043	29874	42154
Q8CTA8	F1613_RS05845	4887	2902	2002	2605	3717	2051	2264	2026	4887
Q8CTB2	F1613_RS05825	2890	2842	3498	3686	4520	3677	4670	3260	3163
Q8CTB6	F1613_RS05780	9768	6809	6624	1581	6438	3343	14693	3622	9280
Q8CTD5	tpiA	132908	89630	72555	21746	37212	53396	44519	115262	81848
Q8CTD6	F1613_RS05590	217042	141782	111411	36552	58439	91790	67779	188645	126018
Q8CTE0	clpP	168753	216084	178116	19360	20675	16716	22053	23343	42180
Q8CTE1	whiA	7757	7663	8731	11470	11869	8585	11339	10090	7368
Q8CTE3	rapZ	5303	4501	4788	3075	3659	3898	3323	4331	4612
Q8CTE6	lgt	3788	4268	3685	3774	3013	4133	2167	4446	3786
Q8CTE7	hprK	4619	3767	3046	3502	3172	4269	2549	5180	4822
Q8CTF2	raiA	81156	81444	41309	11452	13396	16239	23500	17507	54439
Q8CTF5	F1613_RS05435	2978	3832	3758	4944	8448	4935	10834	6391	4556
Q8CTG5	queF	1255	1414	1643	2579	2539	2928	3651	4097	4075
Q8CTG7	F1613_RS05315	935	1503	1179	1798	1907	1512	326	1436	695
Q8CTG8	hisC	2047	1432	1688	2226	3218	2423	992	3476	2042
Q8CTH8	queC	927	758	1605	304	420	1544	5536	1423	2316
Q8CTI3	F1613_RS05190	165811	53099	84037	12345	18695	17464	2559	4383	3331
Q8CTJ6	F1613_RS05070	2000	2668	2121	5851	5046	5607	1654	5658	4353
Q8CTJ9	F1613_RS05055	1482	818	717	610	2214	1331	367	1330	1352
Q8CTK9	F1613_RS04985	5058	5308	6009	7282	7203	7976	5546	5520	10862
Q8CTL4	graS	4679	5590	5271	4734	4913	4121	1786	5103	1825
Q8CTM4	tagH	5979	5910	4374	4944	4744	4711	4473	5606	3886
Q8CTM8	mnhG2	5431	5638	4158	1311	2543	1251	1027	1115	496
Q8CTN9	argS	19353	18649	19536	21288	18334	16722	16121	13552	18059
Q8CTP4	larC	3966	6944	3589	1644	1695	1612	584	1593	1282
Q8CTP9	F1613_RS04615	2489	2338	2483	2984	3368	1859	8755	1087	2020
Q8CTQ2	F1613_RS04585	30956	39308	24000	9044	8877	9685	8037	14007	11012
Q8CTQ5	F1613_RS04560	2021	2340	2178	3391	3530	2749	9175	3717	6578
Q8CTQ7	thiD	8626	8641	7326	7424	6839	6573	5248	10031	9056
Q8CTQ9	F1613_RS04525	106	110	122	452	481	290	65	369	136
Q8CTR0	F1613_RS04520	476	409	472	1169	1697	946	872	1240	757
Q8CTR3	nagB	2933	2714	1861	652	900	860	1153	1477	1349
Q8CTR6	folE2	13258	13017	10435	7714	6090	5722	7910	4591	8572
Q8CTR9	F1613_RS04445	2640	2994	2882	3387	3083	3461	2086	3731	4839
Q8CTS8	rpsL	61098	73273	62539	109189	116581	82188	237487	63892	111062
Q8CTT1	rplL	12021	19041	13692	63866	87990	58520	290389	42408	105932
Q8CTT2	rplJ	21114	33676	24721	123498	170619	100001	410143	74091	144616
Q8CTT4	rplA	38923	51299	47067	93813	101748	72731	258640	58830	139247
Q8CTT5	rplK	57817	67833	56994	101679	110710	75812	227640	59804	138036
Q8CTT6	rpmG	5200	4754	4826	8432	8392	6485	18121	9183	12827
Q8CTT9	rlmB	9174	4432	5927	8009	5928	8115	11637	8248	11856
Q8CTU1	cysS	14253	6217	10494	11335	8088	11665	22064	11762	19116
Q8CTU2	cysE	5936	2676	4727	4611	3360	4345	8897	4343	7617
Q8CTU3	gltX	25993	27275	30823	29383	22070	28928	50230	30767	52076
Q8CTU5	F1613_RS04225	258187	326780	224169	5148	4913	6005	12020	7822	38342
Q8CTV0	hisH	60	122	100	59	47	101	93	140	112
Q8CTV1	hisG	76	90	79	65	49	98	23	87	96
Q8CTV2	F1613_RS04145	56	85	42	66	36	108	61	71	106
Q8CTV7	F1613_RS04110	31639	47233	22572	1785	2182	2257	3965	2802	3661
Q8CTV8	F1613_RS04100	799	1463	710	1265	463	779	500	163	329
Q8CTX1	arcC	16167	9712	9994	1960	3435	9439	29834	7480	16433
Q8CTX5	pflA	90401	67829	31628	5460	10910	47924	34237	62420	121198
Q8CTX6	pflB	245899	178807	112285	22477	45505	157425	106455	196352	370505
Q8CTZ0	F1613_RS03745	116	149	141	136	175	190	99	72	106
Q8CTZ3	F1613_RS03725	105	104	145	57	134	112	69	97	93
Q8CU03	F1613_RS03625	1168	1399	1332	1203	845	1166	332	1267	716
Q8CU07	F1613_RS03580	1549	1840	2207	2988	4202	4081	3887	2386	4474
Q8CU16	F1613_RS03540	671	727	514	284	283	432	276	547	482
Q8CU18	F1613_RS03530	181	270	278	451	465	524	122	305	388
Q8CU19	F1613_RS03525	68	98	82	266	242	311	31	164	180
Q8CU21	F1613_RS03520	105	133	108	222	207	315	88	150	250
Q8CU36	F1613_RS03385	787	723	566	570	552	813	442	627	855
Q8CU41	argF	18022	10519	13288	3591	7245	13750	40278	10853	21792
Q8CU42	arcC	16167	9712	9994	1960	3435	9439	29834	7480	16433
Q8CU52	merB	903	1198	915	397	645	539	3641	622	1366
Q8CU83	rlmH	210	200	181	338	339	360	157	358	239
Q8CU87	walK	16415	22160	15817	13643	12109	14447	7642	17979	14296
Q8CU90	rplI	14182	14993	13924	11763	12089	11187	20111	13065	19808
Q8CU95	serS	7733	4919	7651	23463	20074	18841	39345	17820	32557
Q8CUG0	F1613_RS12360	2461	3829	3377	1061	1158	1360	3052	1002	999
Q8CUG0	F1613_RS12450	5853	9101	8037	2486	2753	3486	6620	2546	2793
NA	F1613_RS12605	1595	1784	1175	475	692	646	1039	490	755
NA	F1613_RS06865	1269	1568	1071	464	357	179	888	156	144
A0A2T4LHN6	F1613_RS02385	2086	2084	2082	3775	6762	19424	11369	10790	12523
A0A8X8FZU3	F1613_RS04135	531	675	416	440	393	471	442	588	486
.	F1613_RS04460	306	574	419	755	563	366	81	327	129
.	F1613_RS04780	16760	19254	12886	3868	9010	4406	3677	4236	3111
.	F1613_RS06380	44	68	67	74	108	86	66	61	18
A0A2G7I0W5	F1613_RS06870	483	656	346	506	491	467	189	468	205
A0A0N1MTY0	F1613_RS11450	2257	1318	1646	1722	1876	1576	1355	1276	624
?	F1613_RS12430	52978	81454	57650	32600	27178	36930	24406	31421	32130
.	F1613_RS12500	2424	1883	1498	3281	3219	3776	1528	5014	1829
.	F1613_RS12560	18	35	48	7	9	10	8	8	6
.	F1613_RS12600	551	378	265	665	794	700	1446	809	399
NA	F1613_RS12610	1789	3078	1794	2147	2616	1961	8747	2371	1917
NA	F1613_RS12630	1277	1660	1482	266	244	350	155	342	133
NA	F1613_RS12685	516	432	312	604	572	234	233	164	130
NA	F1613_RS12700	17	13	12	32	57	70	26	95	94
NA	fdhD	162	290	160	95	84	84	141	99	65
NA	ffs	678	1650	832	1009	1019	1020	7194	1391	1836
NA	msaA	37	97	50	40	38	34	25	74	24
NA	prli42	32	20	22	34	35	34	15	23	17
NA	rnpB	106215	153796	121051	182216	222658	238138	947080	580490	1018209
NA	sdrH	7857	8838	10899	4312	5391	5241	8649	4470	4944
NA	ssrA	8823	6942	6069	7895	8140	17607	49044	7496	25741
NA	ssrS	3225	2804	2813	3080	2438	2125	13210	1877	2831
NA	vraX	540066	372050	341618	4693	11752	16109	189976	29236	114928
NA	yaaA	2450	2836	1835	2282	1763	2294	3462	2841	2206
NA	F1613_RS00145	17	14	25	10	2	12	5	12	4
NA	F1613_RS00555	14	14	13	7	3	7	13	16	20
NA	F1613_RS00595	112	78	67	608	752	531	470	849	510
NA	F1613_RS01035	714	696	314	118	150	203	109	107	68
NA	F1613_RS01040	3	10	4	5	0	6	7	4	1
NA	F1613_RS01305	33	26	35	88	61	30	46	18	30
NA	F1613_RS01795	34	24	29	21	23	25	28	7	8
NA	F1613_RS02355	172	157	78	179	237	267	96	200	120
NA	F1613_RS02635	117	155	123	442	411	392	112	495	237
NA	F1613_RS03440	1932	2036	786	428	533	501	460	726	435
NA	F1613_RS03995	4	4	5	5	14	30	30	14	13
NA	F1613_RS04075	11	10	5	2	1	6	3	6	7
NA	F1613_RS04570	25	27	30	11	10	7	20	10	1
