NAME	GS<br> follow link to MSigDB	GS DETAILS	SIZE	ES	NES	NOM p-val	FDR q-val	FWER p-val	RANK AT MAX	LEADING EDGE	
SEP00552	SEP00552	Details ...	23	0.4272609	1.3806741	0.08506224	0.68315655	0.798	400	tags=35%, list=18%, signal=42%	
SEP03030	SEP03030	Details ...	16	0.440614	1.2901696	0.16135459	0.5446329	0.936	233	tags=25%, list=10%, signal=28%	
SEP03060	SEP03060	Details ...	17	0.42594278	1.2453513	0.17348927	0.45080808	0.967	439	tags=53%, list=20%, signal=65%	
SEP00240	SEP00240	Details ...	26	0.36341608	1.1985555	0.20164609	0.4189347	0.981	546	tags=42%, list=24%, signal=55%	
SEP00550	SEP00550	Details ...	26	0.34118775	1.1419374	0.29	0.42597586	0.993	376	tags=31%, list=17%, signal=37%	
SEP00730	SEP00730	Details ...	16	0.36059734	1.0540318	0.3918919	0.49829134	1.0	345	tags=25%, list=15%, signal=29%	
SEP02010	SEP02010	Details ...	81	0.2198514	0.9233592	0.62620425	0.6544908	1.0	379	tags=17%, list=17%, signal=20%	
SEP00770	SEP00770	Details ...	18	0.15690696	0.46842104	0.9893162	0.9970014	1.0	656	tags=33%, list=29%, signal=47%	
