NAME	GS<br> follow link to MSigDB	GS DETAILS	SIZE	ES	NES	NOM p-val	FDR q-val	FWER p-val	RANK AT MAX	LEADING EDGE	
SEP00970	SEP00970	Details ...	28	0.51835895	1.8168273	0.0024813896	0.036733437	0.053	212	tags=21%, list=9%, signal=23%	
SEP03010	SEP03010	Details ...	73	0.37871012	1.6417772	0.0	0.07133825	0.2	566	tags=52%, list=25%, signal=67%	
SEP03060	SEP03060	Details ...	17	0.5363869	1.61099	0.020997375	0.060812946	0.253	265	tags=35%, list=12%, signal=40%	
SEP00552	SEP00552	Details ...	23	0.44256625	1.4664738	0.046798028	0.11805761	0.538	436	tags=30%, list=19%, signal=37%	
SEP00230	SEP00230	Details ...	47	0.25583887	1.0061549	0.44927537	0.78450876	0.999	514	tags=30%, list=23%, signal=38%	
SEP00730	SEP00730	Details ...	16	0.297362	0.85776734	0.6675127	1.0	1.0	121	tags=13%, list=5%, signal=13%	
SEP00550	SEP00550	Details ...	26	0.21433762	0.7170914	0.9155673	1.0	1.0	360	tags=19%, list=16%, signal=23%	
SEP00790	SEP00790	Details ...	22	0.20231758	0.6602642	0.92378753	1.0	1.0	554	tags=27%, list=25%, signal=36%	
SEP03030	SEP03030	Details ...	16	0.21178104	0.635136	0.94033414	0.9494344	1.0	617	tags=38%, list=27%, signal=51%	
